timestamp,roll,pitch,yaw
1480098842224811,-1.1352,-0.27249,0.827437
1480098842240358,-1.13615,-0.273312,0.827615
1480098842261424,-1.13657,-0.273525,0.828389
1480098842283475,-1.13682,-0.274045,0.829133
1480098842300520,-1.13627,-0.275175,0.829384
1480098842321598,-1.13651,-0.276098,0.829943
1480098842344218,-1.13669,-0.276494,0.830284
1480098842361260,-1.13678,-0.276943,0.830314
1480098842389308,-1.13694,-0.276853,0.83046
1480098842403351,-1.13799,-0.277426,0.830809
1480098842421959,-1.13824,-0.277882,0.831227
1480098842441077,-1.13766,-0.277887,0.831301
1480098842467093,-1.1368,-0.278058,0.831225
1480098842482134,-1.13564,-0.278546,0.830784
1480098842501185,-1.1358,-0.278456,0.83093
1480098842524282,-1.1358,-0.278456,0.83093
1480098842541333,-1.13521,-0.278615,0.830791
1480098842561383,-1.13468,-0.279277,0.830563
1480098842583443,-1.13434,-0.280077,0.830201
1480098842602494,-1.13434,-0.280077,0.830201
1480098842621601,-1.13434,-0.280077,0.830201
1480098842644319,-1.13373,-0.279976,0.829586
1480098842661365,-1.13399,-0.279801,0.828952
1480098842681417,-1.13439,-0.279399,0.828536
1480098842703489,-1.13439,-0.279399,0.828536
1480098842728548,-1.13397,-0.278902,0.828495
1480098842741590,-1.13344,-0.278425,0.828568
1480098842763650,-1.13303,-0.278124,0.828672
1480098842786709,-1.13332,-0.27746,0.829105
1480098842801750,-1.1325,-0.276856,0.828979
1480098842823811,-1.13155,-0.276481,0.828972
1480098842846669,-1.13198,-0.275935,0.829219
1480098842861700,-1.13235,-0.275655,0.82935
1480098842883760,-1.13261,-0.275102,0.829547
1480098842906819,-1.13251,-0.27471,0.8294
1480098842921414,-1.13314,-0.274721,0.82904
1480098842943644,-1.13425,-0.274498,0.829028
1480098842966707,-1.13439,-0.274464,0.829055
1480098842982711,-1.13423,-0.274554,0.828909
1480098843003796,-1.1347,-0.274472,0.829043
1480098843026856,-1.1347,-0.274472,0.829043
1480098843044762,-1.1347,-0.274472,0.829043
1480098843063777,-1.13463,-0.274315,0.829064
1480098843085835,-1.13478,-0.274281,0.829091
1480098843109899,-1.13525,-0.274545,0.829156
1480098843123943,-1.13545,-0.274571,0.829258
1480098843146587,-1.13533,-0.274646,0.829254
1480098843162628,-1.13517,-0.274703,0.829533
1480098843183685,-1.13523,-0.27473,0.830033
1480098843206746,-1.13523,-0.27473,0.830033
1480098843223297,-1.13521,-0.274786,0.829915
1480098843251373,-1.13535,-0.274656,0.830038
1480098843266462,-1.13535,-0.274656,0.830038
1480098843284467,-1.13506,-0.274377,0.830052
1480098843303541,-1.13473,-0.273982,0.83011
1480098843326590,-1.13426,-0.274065,0.829976
1480098843344488,-1.1344,-0.27403,0.830003
1480098843363574,-1.1343,-0.273291,0.829926
1480098843386599,-1.13355,-0.272844,0.829781
1480098843404646,-1.13283,-0.272126,0.829639
1480098843424201,-1.13224,-0.271589,0.829642
1480098843446771,-1.13146,-0.271157,0.829357
1480098843463818,-1.1314,-0.270598,0.829568
1480098843483870,-1.13105,-0.270574,0.829865
1480098843505928,-1.1301,-0.270644,0.829696
1480098843528994,-1.1293,-0.269985,0.829695
1480098843544041,-1.12904,-0.269683,0.829405
1480098843566093,-1.12942,-0.2694,0.829201
1480098843589156,-1.12945,-0.269225,0.829108
1480098843604195,-1.12874,-0.269361,0.829063
1480098843626255,-1.12874,-0.269361,0.829063
1480098843643897,-1.12874,-0.269361,0.829063
1480098843663950,-1.12874,-0.269361,0.829063
1480098843686029,-1.12865,-0.26926,0.828967
1480098843704077,-1.12867,-0.269204,0.829085
1480098843724114,-1.12925,-0.269198,0.829007
1480098843746185,-1.12916,-0.269098,0.82891
1480098843764231,-1.12857,-0.268812,0.828941
1480098843786290,-1.12794,-0.269049,0.828994
1480098843806345,-1.12715,-0.268865,0.828403
1480098843824398,-1.12622,-0.268203,0.827288
1480098843844184,-1.12497,-0.267273,0.825718
1480098843866170,-1.12407,-0.266042,0.82423
1480098843884216,-1.12341,-0.265269,0.823152
1480098843904271,-1.12251,-0.264644,0.822069
1480098843926332,-1.12181,-0.263248,0.820879
1480098843943959,-1.12098,-0.262076,0.819475
1480098843965025,-1.12028,-0.260483,0.81815
1480098843986092,-1.11912,-0.258693,0.817436
1480098844004115,-1.1173,-0.257799,0.817056
1480098844025675,-1.11616,-0.257049,0.817044
1480098844046472,-1.11585,-0.256504,0.817329
1480098844068535,-1.11585,-0.256504,0.817329
1480098844092593,-1.11682,-0.25643,0.817962
1480098844106641,-1.11832,-0.256581,0.818483
1480098844124682,-1.11945,-0.256613,0.819402
1480098844145714,-1.12018,-0.25659,0.820125
1480098844166738,-1.12079,-0.257019,0.820345
1480098844188796,-1.12135,-0.257677,0.820538
1480098844204911,-1.12272,-0.25805,0.820846
1480098844226399,-1.12345,-0.2585,0.820976
1480098844248977,-1.12405,-0.259078,0.820985
1480098844267044,-1.12398,-0.259072,0.820794
1480098844286077,-1.12378,-0.259337,0.82074
1480098844309176,-1.12415,-0.259666,0.821266
1480098844327192,-1.12548,-0.26022,0.822002
1480098844346799,-1.12677,-0.26041,0.823094
1480098844368871,-1.12651,-0.26094,0.824102
1480098844386881,-1.12485,-0.26252,0.825262
1480098844406001,-1.12435,-0.264452,0.82697
1480098844428997,-1.12464,-0.264978,0.828966
1480098844446549,-1.12593,-0.26548,0.830419
1480098844466651,-1.12736,-0.266325,0.831403
1480098844490664,-1.1281,-0.266903,0.832537
1480098844506709,-1.12873,-0.268281,0.833099
1480098844526290,-1.12925,-0.26961,0.833113
1480098844548372,-1.12935,-0.269591,0.832998
1480098844566420,-1.13021,-0.270046,0.832263
1480098844593493,-1.13141,-0.270201,0.831608
1480098844611550,-1.13249,-0.270216,0.830834
1480098844627097,-1.1332,-0.270165,0.83
1480098844646271,-1.13374,-0.270424,0.829472
1480098844669288,-1.13482,-0.270756,0.829056
1480098844686354,-1.13585,-0.27094,0.829111
1480098844706387,-1.13675,-0.27079,0.829235
1480098844728988,-1.13794,-0.270538,0.82984
1480098844747176,-1.13797,-0.270871,0.830248
1480098844766215,-1.13805,-0.271189,0.830797
1480098844789263,-1.1383,-0.271707,0.831542
1480098844806329,-1.13832,-0.272702,0.832239
1480098844826411,-1.13853,-0.273647,0.833106
1480098844848458,-1.13811,-0.274766,0.833693
1480098844866506,-1.13747,-0.275917,0.834061
1480098844887566,-1.13775,-0.276761,0.834433
1480098844916638,-1.13806,-0.277623,0.834521
1480098844934240,-1.13873,-0.278726,0.834769
1480098844947870,-1.13939,-0.279224,0.834608
1480098844968966,-1.13987,-0.279584,0.834581
1480098844986974,-1.14039,-0.279713,0.834578
