timestamp,x,y,z,w
1480098842224811,0.44165,0.31897,-0.268982,-0.794312
1480098842240358,0.441833,0.319458,-0.268677,-0.794067
1480098842261424,0.441833,0.319763,-0.26886,-0.793884
1480098842283475,0.441711,0.320129,-0.268982,-0.793823
1480098842300520,0.441223,0.320557,-0.26886,-0.793884
1480098842321598,0.44104,0.321045,-0.268799,-0.793823
1480098842344218,0.440979,0.321289,-0.268799,-0.793762
1480098842361260,0.440918,0.321472,-0.268677,-0.793762
1480098842389308,0.440979,0.321472,-0.268738,-0.793762
1480098842403351,0.441223,0.321899,-0.268555,-0.793518
1480098842421959,0.441162,0.322205,-0.268555,-0.793396
1480098842441077,0.440918,0.322144,-0.268677,-0.793518
1480098842467093,0.440552,0.322083,-0.268738,-0.793701
1480098842482134,0.440063,0.322021,-0.268616,-0.794006
1480098842501185,0.440125,0.322021,-0.268677,-0.794006
1480098842524282,0.440125,0.322021,-0.268677,-0.794006
1480098842541333,0.43988,0.32196,-0.268677,-0.794189
1480098842561383,0.439575,0.322083,-0.268494,-0.794373
1480098842583443,0.439331,0.322266,-0.268188,-0.794495
1480098842602494,0.439331,0.322266,-0.268188,-0.794495
1480098842621601,0.439331,0.322266,-0.268188,-0.794495
1480098842644319,0.439209,0.322021,-0.268066,-0.794678
1480098842661365,0.439453,0.321838,-0.267822,-0.794739
1480098842681417,0.439758,0.321655,-0.2677,-0.794678
1480098842703489,0.439758,0.321655,-0.2677,-0.794678
1480098842728548,0.439697,0.321411,-0.267883,-0.794739
1480098842741590,0.439575,0.321167,-0.268127,-0.794861
1480098842763650,0.439453,0.321045,-0.268311,-0.794861
1480098842786709,0.439636,0.320923,-0.268616,-0.794739
1480098842801750,0.439453,0.320557,-0.26886,-0.794922
1480098842823811,0.439148,0.320313,-0.269104,-0.795044
1480098842846669,0.439392,0.32019,-0.269287,-0.794983
1480098842861700,0.439575,0.32019,-0.269348,-0.7948
1480098842883760,0.439758,0.320068,-0.269531,-0.794678
1480098842906819,0.439819,0.319885,-0.269592,-0.794678
1480098842921414,0.440125,0.319885,-0.269348,-0.794617
1480098842943644,0.440613,0.319946,-0.269226,-0.794373
1480098842966707,0.440674,0.319946,-0.269226,-0.794373
1480098842982711,0.440613,0.319946,-0.269165,-0.794373
1480098843003796,0.440796,0.320007,-0.269165,-0.79425
1480098843026856,0.440796,0.320007,-0.269165,-0.79425
1480098843044762,0.440796,0.320007,-0.269165,-0.79425
1480098843063777,0.440796,0.319946,-0.269226,-0.79425
1480098843085835,0.440857,0.319946,-0.269226,-0.79425
1480098843109899,0.440979,0.320129,-0.269104,-0.794128
1480098843123943,0.44104,0.32019,-0.269104,-0.794067
1480098843146587,0.440979,0.32019,-0.269104,-0.794128
1480098843162628,0.440857,0.320251,-0.269226,-0.794128
1480098843183685,0.440796,0.320374,-0.269409,-0.794067
1480098843206746,0.440796,0.320374,-0.269409,-0.794067
1480098843223297,0.440796,0.320374,-0.269348,-0.794067
1480098843251373,0.440857,0.320374,-0.269409,-0.794006
1480098843266462,0.440857,0.320374,-0.269409,-0.794006
1480098843284467,0.440796,0.320251,-0.269531,-0.794006
1480098843303541,0.440735,0.320068,-0.269714,-0.794067
1480098843326590,0.440552,0.320007,-0.269714,-0.794189
1480098843344488,0.440613,0.320007,-0.269714,-0.794189
1480098843363574,0.440735,0.319702,-0.269897,-0.794189
1480098843386599,0.440552,0.319397,-0.270081,-0.794373
1480098843404646,0.44043,0.319031,-0.270325,-0.794434
1480098843424201,0.440308,0.318726,-0.270569,-0.794617
1480098843446771,0.440125,0.31842,-0.270691,-0.794739
1480098843463818,0.440186,0.318237,-0.270935,-0.794739
1480098843483870,0.440002,0.318237,-0.271118,-0.7948
1480098843505928,0.439636,0.318115,-0.271179,-0.794983
1480098843528994,0.439453,0.317749,-0.271484,-0.795166
1480098843544041,0.439453,0.317566,-0.271484,-0.795166
1480098843566093,0.439697,0.317444,-0.271423,-0.795166
