timestamp,roll,pitch,yaw
1480685819554453,-0.684628,-0.0979032,-1.06108
1480685819577013,-0.684628,-0.0979032,-1.06108
1480685819600075,-0.684628,-0.0979032,-1.06108
1480685819615115,-0.684628,-0.0979032,-1.06108
1480685819637174,-0.684695,-0.0978047,-1.06112
1480685819659734,-0.684628,-0.0979032,-1.06108
1480685819675274,-0.684504,-0.097843,-1.06107
1480685819697336,-0.684504,-0.097843,-1.06107
1480685819719391,-0.68457,-0.0977445,-1.06112
1480685819734431,-0.684695,-0.0978047,-1.06112
1480685819758495,-0.68457,-0.0977445,-1.06112
1480685819787573,-0.684504,-0.097843,-1.06107
1480685819809633,-0.684409,-0.097767,-1.06109
1480685819824671,-0.684409,-0.097767,-1.06109
1480685819854251,-0.684475,-0.0976685,-1.06114
1480685819856757,-0.684409,-0.097767,-1.06109
1480685819877311,-0.684409,-0.097767,-1.06109
1480685819906900,-0.684409,-0.097767,-1.06109
1480685819913912,-0.684409,-0.097767,-1.06109
1480685819936970,-0.684475,-0.0976685,-1.06114
1480685819959531,-0.684475,-0.0976685,-1.06114
1480685819980601,-0.684284,-0.0977069,-1.06108
1480685820000138,-0.684284,-0.0977069,-1.06108
1480685820019690,-0.683832,-0.0973962,-1.06096
1480685820042250,-0.683832,-0.0973962,-1.06096
1480685820072831,-0.683855,-0.0976633,-1.06117
1480685820086869,-0.683729,-0.0979911,-1.0615
1480685820107925,-0.683729,-0.0979911,-1.0615
1480685820116948,-0.683446,-0.0977886,-1.06183
1480685820139509,-0.682802,-0.0974437,-1.06229
1480685820176607,-0.682802,-0.0974437,-1.06229
1480685820186634,-0.68264,-0.0974661,-1.06227
1480685820207690,-0.682528,-0.0974441,-1.06241
1480685820220725,-0.682528,-0.0974441,-1.06241
1480685820237770,-0.682516,-0.0974059,-1.06226
1480685820259829,-0.682516,-0.0974059,-1.06226
1480685820280885,-0.682528,-0.0974441,-1.06241
1480685820297931,-0.682528,-0.0974441,-1.06241
1480685820319988,-0.682516,-0.0974059,-1.06226
1480685820342048,-0.682516,-0.0974059,-1.06226
1480685820363103,-0.682391,-0.0973457,-1.06225
1480685820387168,-0.682391,-0.0973457,-1.06225
1480685820402209,-0.682403,-0.0973839,-1.0624
1480685820418250,-0.682516,-0.0974059,-1.06226
1480685820445824,-0.682582,-0.0973074,-1.06231
1480685820463370,-0.682582,-0.0973074,-1.06231
1480685820477407,-0.682391,-0.0973457,-1.06225
1480685820514008,-0.681964,-0.0971113,-1.06243
1480685820523530,-0.681964,-0.0971113,-1.06243
1480685820537567,-0.682031,-0.0970128,-1.06248
1480685820559626,-0.682031,-0.0970128,-1.06248
1480685820582186,-0.681906,-0.0969525,-1.06247
1480685820597226,-0.681839,-0.0970511,-1.06242
1480685820619785,-0.681906,-0.0969525,-1.06247
1480685820642345,-0.681906,-0.0969525,-1.06247
1480685820656884,-0.681782,-0.0968923,-1.06246
1480685820702506,-0.681715,-0.0969909,-1.06242
1480685820705012,-0.681715,-0.0969909,-1.06242
1480685820716544,-0.681782,-0.0968923,-1.06246
1480685820740105,-0.681938,-0.0969622,-1.06276
1480685820762164,-0.681968,-0.0969462,-1.06279
1480685820777706,-0.681777,-0.0969846,-1.06274
1480685820799764,-0.681777,-0.0969846,-1.06274
1480685820830346,-0.681777,-0.0969846,-1.06274
1480685820843381,-0.681901,-0.0970448,-1.06275
1480685820860426,-0.681844,-0.096886,-1.06279
1480685820882986,-0.681777,-0.0969846,-1.06274
1480685820896523,-0.681652,-0.0969243,-1.06273
1480685820919583,-0.681652,-0.0969243,-1.06273
1480685820942645,-0.681719,-0.0968258,-1.06278
1480685820963202,-0.681844,-0.096886,-1.06279
1480685820985759,-0.681719,-0.0968258,-1.06278
1480685821002303,-0.681652,-0.0969243,-1.06273
1480685821023359,-0.681652,-0.0969243,-1.06273
1480685821039401,-0.681719,-0.0968258,-1.06278
1480685821061962,-0.681719,-0.0968258,-1.06278
1480685821083019,-0.681719,-0.0968258,-1.06278
1480685821100063,-0.681528,-0.0968641,-1.06272
1480685821121621,-0.681557,-0.0968482,-1.06275
1480685821143179,-0.681624,-0.0967497,-1.0628
1480685821166239,-0.681624,-0.0967497,-1.0628
1480685821182282,-0.681499,-0.0966895,-1.06279
1480685821203338,-0.681499,-0.0966895,-1.06279
1480685821220383,-0.681433,-0.096788,-1.06275
1480685821241941,-0.681499,-0.0966895,-1.06279
1480685821263004,-0.681499,-0.0966895,-1.06279
1480685821279542,-0.681499,-0.0966895,-1.06279
1480685821308617,-0.681375,-0.0966292,-1.06278
1480685821323658,-0.681375,-0.0966292,-1.06278
1480685821341204,-0.681499,-0.0966895,-1.06279
1480685821362260,-0.681375,-0.0966292,-1.06278
1480685821405375,-0.681375,-0.0966292,-1.06278
1480685821416906,-0.681308,-0.0967278,-1.06274
1480685821429439,-0.681308,-0.0967278,-1.06274
1480685821444479,-0.681375,-0.0966292,-1.06278
1480685821467540,-0.681375,-0.0966292,-1.06278
1480685821488095,-0.681375,-0.0966292,-1.06278
1480685821503135,-0.68128,-0.0965531,-1.06281
1480685821519679,-0.68128,-0.0965531,-1.06281
1480685821542239,-0.68125,-0.096569,-1.06278
1480685821570814,-0.681375,-0.0966292,-1.06278
1480685821587359,-0.68128,-0.0965531,-1.06281
1480685821615935,-0.68128,-0.0965531,-1.06281
1480685821626965,-0.68128,-0.0965531,-1.06281
1480685821653033,-0.68128,-0.0965531,-1.06281
1480685821662060,-0.68128,-0.0965531,-1.06281
1480685821709184,-0.68128,-0.0965531,-1.06281
1480685821714196,-0.68128,-0.0965531,-1.06281
1480685821728233,-0.681155,-0.0964929,-1.0628
1480685821744778,-0.681155,-0.0964929,-1.0628
1480685821758815,-0.681222,-0.0963944,-1.06284
1480685821781876,-0.681222,-0.0963944,-1.06284
1480685821804436,-0.681222,-0.0963944,-1.06284
1480685821820479,-0.681155,-0.0964929,-1.0628
1480685821842038,-0.681222,-0.0963944,-1.06284
1480685821864595,-0.681222,-0.0963944,-1.06284
1480685821879136,-0.681222,-0.0963944,-1.06284
1480685821902197,-0.681098,-0.0963341,-1.06284
1480685821955337,-0.681098,-0.0963341,-1.06284
1480685821957844,-0.681222,-0.0963944,-1.06284
1480685821998452,-0.681289,-0.0962958,-1.06289
1480685822022515,-0.681289,-0.0962958,-1.06289
1480685822029034,-0.681098,-0.0963341,-1.06284
1480685822044575,-0.681222,-0.0963944,-1.06284
1480685822065630,-0.681222,-0.0963944,-1.06284
1480685822082174,-0.681222,-0.0963944,-1.06284
1480685822104734,-0.681098,-0.0963341,-1.06284
1480685822125791,-0.681098,-0.0963341,-1.06284
1480685822142335,-0.681098,-0.0963341,-1.06284
1480685822164393,-0.681222,-0.0963944,-1.06284
1480685822185449,-0.681098,-0.0963341,-1.06284
1480685822215530,-0.681127,-0.0963182,-1.06287
1480685822238089,-0.680735,-0.096579,-1.06331
1480685822291230,-0.680722,-0.0965409,-1.06316
1480685822307775,-0.680819,-0.0964265,-1.06323
1480685822320308,-0.680386,-0.0964744,-1.0636
1480685822330836,-0.679882,-0.0967127,-1.06419
1480685822332340,-0.679636,-0.096814,-1.06488
1480685822344873,-0.679394,-0.0968233,-1.06529
1480685822365427,-0.678989,-0.0965593,-1.06562
1480685822381972,-0.678989,-0.0965593,-1.06562
1480685822405033,-0.67881,-0.0966354,-1.06572
1480685822425588,-0.67881,-0.0966354,-1.06572
1480685822442132,-0.67881,-0.0966354,-1.06572
1480685822472212,-0.678533,-0.0963398,-1.06577
1480685822494270,-0.678533,-0.0963398,-1.06577
1480685822539893,-0.678533,-0.0963398,-1.06577
1480685822542399,-0.678096,-0.0964786,-1.06641
1480685822563956,-0.67777,-0.0961537,-1.06693
1480685822586014,-0.677895,-0.0962141,-1.06694
1480685822590526,-0.67777,-0.0961537,-1.06693
1480685822607070,-0.67777,-0.0961537,-1.06693
1480685822621609,-0.677567,-0.0960798,-1.06736
1480685822644672,-0.677406,-0.0960278,-1.06798
1480685822667231,-0.678202,-0.096076,-1.06839
1480685822682271,-0.678202,-0.096076,-1.06839
1480685822704329,-0.677512,-0.0957728,-1.06868
1480685822727391,-0.677445,-0.0958712,-1.06863
1480685822741428,-0.677445,-0.0958712,-1.06863
1480685822787550,-0.677512,-0.0957728,-1.06868
1480685822790056,-0.677512,-0.0957728,-1.06868
1480685822840190,-0.677512,-0.0957728,-1.06868
1480685822886314,-0.676759,-0.0954762,-1.06865
1480685822907871,-0.676456,-0.0950053,-1.06877
1480685822909375,-0.676332,-0.0949448,-1.06876
1480685822913390,-0.676332,-0.0949448,-1.06876
1480685822921406,-0.675686,-0.0947625,-1.06886
1480685822944469,-0.675125,-0.094428,-1.06888
1480685822967027,-0.67489,-0.0938585,-1.06904
1480685822988083,-0.674474,-0.0935556,-1.06921
1480685823004628,-0.67435,-0.0934951,-1.0692
1480685823027689,-0.675272,-0.0938988,-1.06969
1480685823078827,-0.675889,-0.0940229,-1.07021
1480685823103390,-0.67599,-0.0939335,-1.07055
1480685823110414,-0.675286,-0.0939781,-1.07103
1480685823114927,-0.675286,-0.0939781,-1.07103
1480685823124446,-0.675094,-0.0940159,-1.07098
1480685823161547,-0.675094,-0.0940159,-1.07098
1480685823168062,-0.675094,-0.0940159,-1.07098
1480685823191124,-0.675094,-0.0940159,-1.07098
1480685823207166,-0.675094,-0.0940159,-1.07098
1480685823235743,-0.674492,-0.0938545,-1.07126
1480685823245269,-0.673946,-0.0936568,-1.07106
1480685823295904,-0.673862,-0.0933227,-1.07116
1480685823357065,-0.673394,-0.0934504,-1.07151
1480685823366590,-0.67189,-0.093652,-1.0724
1480685823371604,-0.668485,-0.0931838,-1.074
1480685823387145,-0.668064,-0.0922657,-1.07376
1480685823409705,-0.667632,-0.0916055,-1.07344
1480685823424243,-0.667538,-0.0915288,-1.07346
1480685823447305,-0.667538,-0.0915288,-1.07346
1480685823469364,-0.667605,-0.0914304,-1.07351
1480685823484403,-0.667728,-0.0914911,-1.07352
1480685823506964,-0.667699,-0.091507,-1.07349
1480685823529528,-0.667699,-0.091507,-1.07349
1480685823597705,-0.667699,-0.091507,-1.07349
1480685823600212,-0.667633,-0.0911195,-1.07347
1480685823629293,-0.66639,-0.090465,-1.07286
1480685823634804,-0.665427,-0.0907209,-1.0726
1480685823649843,-0.66483,-0.0912491,-1.07265
1480685823663881,-0.664435,-0.0911866,-1.07277
1480685823686942,-0.663532,-0.0907431,-1.07307
1480685823709502,-0.662015,-0.0902904,-1.07341
1480685823725044,-0.660652,-0.0898821,-1.07378
1480685823747103,-0.659751,-0.0894377,-1.07409
1480685823769161,-0.659423,-0.0889815,-1.07418
1480685823786206,-0.65949,-0.0888829,-1.07422
1480685823836840,-0.658807,-0.0885756,-1.07451
1480685823857896,-0.658124,-0.0882682,-1.07481
1480685823890984,-0.658124,-0.0882682,-1.07481
1480685823896503,-0.658124,-0.0882682,-1.07481
1480685823898004,-0.658124,-0.0882682,-1.07481
1480685823910536,-0.658124,-0.0882682,-1.07481
1480685823927080,-0.65739,-0.087998,-1.07401
1480685823949641,-0.657118,-0.0882819,-1.07328
1480685823970696,-0.657492,-0.0884772,-1.07265
1480685823987742,-0.657683,-0.0884393,-1.0727
1480685824017321,-0.657276,-0.08834,-1.07267
1480685824030857,-0.656147,-0.0880167,-1.0729
1480685824046899,-0.655481,-0.0876573,-1.07307
1480685824091020,-0.655138,-0.0872533,-1.07328
1480685824152680,-0.6547,-0.0867728,-1.07352
1480685824155187,-0.653557,-0.086501,-1.07388
1480685824159699,-0.652291,-0.0866603,-1.07513
1480685824173737,-0.65209,-0.086963,-1.07591
1480685824189779,-0.65174,-0.0870293,-1.07676
1480685824210835,-0.651053,-0.0872942,-1.07731
1480685824226878,-0.650749,-0.0876898,-1.07775
1480685824249439,-0.650838,-0.0881492,-1.07808
1480685824271998,-0.650961,-0.0882102,-1.07809
1480685824288040,-0.650961,-0.0882102,-1.07809
1480685824323635,-0.650919,-0.0884843,-1.07798
1480685824330654,-0.651186,-0.0891645,-1.07828
1480685824384798,-0.651949,-0.0905076,-1.07857
1480685824414878,-0.653644,-0.0919067,-1.07916
1480685824417385,-0.655128,-0.0930802,-1.07948
1480685824432424,-0.654744,-0.0945331,-1.08049
1480685824457992,-0.654394,-0.0952917,-1.08111
1480685824467518,-0.653898,-0.0954301,-1.08143
1480685824489577,-0.653478,-0.0948954,-1.08154
1480685824529183,-0.652102,-0.0935391,-1.08128
1480685824540713,-0.650887,-0.0927509,-1.08119
1480685824549737,-0.650832,-0.0925911,-1.08123
1480685824572296,-0.650832,-0.0925911,-1.08123
1480685824600371,-0.651247,-0.0925218,-1.08163
1480685824616916,-0.651954,-0.0930145,-1.08219
1480685824668050,-0.651781,-0.0936985,-1.08271
1480685824693620,-0.651785,-0.0943089,-1.08312
1480685824706152,-0.653221,-0.095443,-1.08299
1480685824708158,-0.653855,-0.0950196,-1.08247
1480685824737235,-0.653139,-0.0944085,-1.0824
1480685824752777,-0.652191,-0.0937112,-1.08246
1480685824766813,-0.651379,-0.0928169,-1.08262
1480685824789374,-0.650838,-0.091926,-1.08265
1480685824819454,-0.650145,-0.0911811,-1.08309
1480685824826473,-0.64922,-0.0910417,-1.08344
1480685824849533,-0.649275,-0.0912016,-1.0834
1480685824895155,-0.649275,-0.0912016,-1.0834
1480685824899667,-0.64884,-0.0907183,-1.08364
1480685824924232,-0.647701,-0.0901456,-1.08393
1480685824948355,-0.647009,-0.0900922,-1.08415
1480685824953870,-0.647021,-0.0901283,-1.0843
1480685824969410,-0.646794,-0.0896593,-1.08409
1480685824991971,-0.646634,-0.0893864,-1.08399
1480685825013032,-0.64666,-0.0891639,-1.08423
1480685825029570,-0.64749,-0.0894229,-1.08473
1480685825052131,-0.648012,-0.0891723,-1.08519
1480685825074691,-0.647927,-0.088718,-1.08578
1480685825089731,-0.647478,-0.0882858,-1.08614
1480685825193507,-0.647356,-0.0882243,-1.08613
1480685825211556,-0.647275,-0.0881831,-1.08631
1480685825218072,-0.645531,-0.0916958,-1.08857
1480685825238626,-0.644494,-0.0918184,-1.08822
1480685825260686,-0.643135,-0.0914825,-1.08796
1480685825271716,-0.642633,-0.0913906,-1.08822
1480685825292269,-0.642591,-0.0907645,-1.08855
1480685825322851,-0.64251,-0.0902214,-1.08886
1480685825329372,-0.641901,-0.0898088,-1.0892
1480685825351928,-0.641263,-0.089706,-1.08958
1480685825395545,-0.641263,-0.089706,-1.08958
1480685825449688,-0.641263,-0.089706,-1.08958
1480685825452195,-0.641263,-0.089706,-1.08958
1480685825472516,-0.641254,-0.0900852,-1.08901
1480685825475022,-0.642598,-0.090189,-1.08736
1480685825495075,-0.643674,-0.0897882,-1.0869
1480685825517134,-0.644519,-0.0892997,-1.08657
1480685825532174,-0.644983,-0.0891796,-1.08622
1480685825570776,-0.645159,-0.0894011,-1.08619
1480685825575790,-0.645956,-0.0895683,-1.08611
1480685825592335,-0.646584,-0.0894309,-1.0867
1480685825629433,-0.646462,-0.0887644,-1.08721
1480685825631939,-0.646859,-0.0878433,-1.08725
1480685825703629,-0.64745,-0.0867976,-1.08706
1480685825717667,-0.648409,-0.0856419,-1.08682
1480685825734712,-0.655185,-0.0867297,-1.08575
1480685825755769,-0.656527,-0.0876991,-1.08536
1480685825771811,-0.657908,-0.0888803,-1.08506
1480685825794371,-0.660154,-0.0900138,-1.08522
1480685825815428,-0.661878,-0.0909062,-1.08598
1480685825832471,-0.66177,-0.0919917,-1.08744
1480685825860546,-0.660151,-0.0922158,-1.08954
1480685825875587,-0.659553,-0.0929509,-1.09135
1480685825892131,-0.659301,-0.0928111,-1.09303
1480685825927726,-0.657569,-0.0923821,-1.09395
1480685825959810,-0.654964,-0.092165,-1.09405
1480685825962321,-0.653408,-0.0921536,-1.0938
1480685825991896,-0.653893,-0.0925928,-1.09374
1480685826004430,-0.653974,-0.0925311,-1.09394
1480685826011950,-0.652734,-0.0926561,-1.0943
1480685826034509,-0.651029,-0.0929,-1.09502
1480685826056066,-0.649643,-0.0925797,-1.09566
1480685826071608,-0.648774,-0.092094,-1.09611
1480685826094670,-0.648092,-0.0912561,-1.09627
1480685826117230,-0.648086,-0.090734,-1.09614
1480685826139789,-0.648367,-0.0901656,-1.09575
1480685826154829,-0.64881,-0.0897831,-1.09518
1480685826193432,-0.648622,-0.0893278,-1.09423
1480685826212984,-0.647918,-0.0885374,-1.09359
1480685826262120,-0.64785,-0.0886357,-1.09354
1480685826265624,-0.648431,-0.08846,-1.09369
1480685826282168,-0.648441,-0.0885838,-1.09412
1480685826297208,-0.649581,-0.0903824,-1.09466
1480685826312750,-0.651763,-0.0922705,-1.09534
1480685826334808,-0.653643,-0.0933539,-1.09591
1480685826364387,-0.652775,-0.0930748,-1.09615
1480685826371907,-0.650802,-0.092112,-1.09644
1480685826401987,-0.650034,-0.0914242,-1.09668
1480685826417026,-0.650346,-0.091244,-1.09695
1480685826432568,-0.650753,-0.0919584,-1.0974
1480685826470168,-0.650399,-0.0925072,-1.09824
1480685826497741,-0.650039,-0.0927395,-1.09872
1480685826516792,-0.649476,-0.092361,-1.09859
1480685826522808,-0.648398,-0.0920588,-1.09836
1480685826536846,-0.648276,-0.0919967,-1.09835
1480685826557901,-0.648637,-0.0920646,-1.09886
