timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480688953391273,-7,-2,-1,0,-6,-6,-3,-2
1480688953391273,-1,-3,-2,-3,-1,0,-1,-1
1480688953393270,-3,0,-1,-3,5,0,0,1
1480688953393270,-1,-1,3,2,1,2,1,-1
1480688953413323,0,-4,0,4,5,3,0,-1
1480688953413323,0,1,2,-2,-3,-2,-1,1
1480688953415831,0,7,-4,-5,-9,-5,-4,-2
1480688953415831,-2,-4,-3,-5,-5,-2,0,0
1480688953428364,0,-11,4,9,15,5,1,0
1480688953428364,1,4,-1,-4,-6,-4,-1,-1
1480688953435884,1,1,4,5,6,4,2,-2
1480688953435884,-3,0,-2,-5,-9,-4,-3,0
1480688953458444,1,2,8,5,-2,-2,1,-1
1480688953458444,1,0,-3,0,-3,-1,-2,-1
1480688953459949,-1,-1,-2,0,4,-1,0,-4
1480688953459949,-3,-4,-1,-1,4,-3,-1,1
1480688953464459,0,2,0,0,-3,4,-2,0
1480688953464459,-1,-11,5,-4,-1,1,2,3
1480688953473487,-2,-4,5,3,-4,-3,-2,-1
1480688953473487,0,8,-2,14,13,4,0,-4
1480688953488524,3,4,-6,-7,-3,-3,1,0
1480688953488524,1,1,5,0,-2,-1,-2,-1
1480688953492033,0,-1,-5,-5,-6,-2,-3,0
1480688953492033,-2,-6,3,3,0,1,1,1
1480688953510585,1,0,-3,-7,-2,-3,-3,-1
1480688953510585,-2,-2,-2,-3,3,2,-1,-3
1480688953512588,-2,-2,-5,-5,-2,0,-2,1
1480688953512588,-1,-1,-3,-2,0,1,0,-1
1480688953524621,-2,-8,0,3,0,-1,1,0
1480688953524621,2,4,1,8,-1,-2,0,-2
1480688953533644,-1,-2,-4,-12,-1,2,0,0
1480688953533644,0,2,-3,-4,-1,1,0,0
1480688953547179,-2,-6,-1,-4,-1,-3,-4,-3
1480688953547179,-1,0,0,5,4,-1,-2,0
1480688953556203,0,1,0,0,-7,0,1,-1
1480688953556203,-1,-1,-1,-1,3,3,1,1
1480688953570742,0,3,-3,-4,-2,-4,-3,-2
1480688953570742,-1,-1,-2,4,2,0,-1,0
1480688953572247,-1,2,1,0,2,-1,-2,-1
1480688953572247,2,-1,4,0,-3,-3,-1,-3
1480688953584278,-1,0,0,6,1,2,1,0
1480688953584278,-4,-2,-1,-7,-2,-3,-1,-3
1480688953600823,-2,4,-6,-2,-2,-5,-3,-1
1480688953600823,1,0,4,2,-2,-1,2,0
1480688953609345,-5,-8,-1,-6,-3,-2,-1,-1
1480688953609345,-1,-2,-2,1,4,1,-2,-2
1480688953611852,2,2,0,1,4,3,4,1
1480688953611852,-2,-12,7,3,1,1,-1,-1
1480688953630401,-1,-4,-2,-2,0,2,0,0
1480688953630401,0,0,-6,2,-2,-4,0,0
1480688953644939,-1,-4,1,4,-1,-1,-1,1
1480688953644939,1,5,2,-1,0,0,0,0
1480688953645942,0,1,-2,0,1,0,-2,0
1480688953645942,-2,-1,-1,-2,-1,2,0,-1
1480688953653462,-1,0,2,2,-1,0,-2,-1
1480688953653462,1,0,-4,0,0,-1,0,2
1480688953676022,-1,1,-1,-2,-2,0,0,0
1480688953676022,1,-1,1,-1,-1,0,-2,1
1480688953677526,0,-2,-1,-3,1,1,1,1
1480688953677526,-1,2,-1,1,-3,-1,-3,-3
1480688953698582,1,2,1,0,2,0,1,-1
1480688953698582,-1,-1,-2,-4,-5,-1,-1,-2
1480688953700086,0,-4,0,1,0,1,-1,0
1480688953700086,-2,-5,-4,-7,0,-1,1,-1
1480688953704598,-1,-1,-2,0,1,-2,-1,0
1480688953704598,2,2,2,0,0,-1,0,0
1480688953715127,-4,-3,-3,-1,0,0,0,1
1480688953715127,5,10,0,2,-2,0,-3,-1
1480688953728161,-4,-6,-1,-1,0,0,0,-1
1480688953728161,-3,-2,-1,-1,-1,0,0,0
1480688953730166,-1,-1,4,3,-2,0,1,-2
1480688953730166,1,7,-9,-7,-5,-4,-1,-1
1480688953750721,-1,-5,2,2,-1,0,0,0
1480688953750721,-1,0,0,-1,-1,0,-1,2
1480688953752225,-1,-1,0,1,2,-1,0,0
1480688953752225,0,-2,0,0,-2,-1,0,1
1480688953764256,1,4,-4,-4,-2,-1,0,0
1480688953764256,-4,-9,3,7,3,0,1,1
1480688953773786,0,-1,0,-1,-2,-1,-1,-1
1480688953773786,-1,-1,-1,0,0,1,0,-1
1480688953788321,0,-4,11,5,3,2,2,3
1480688953788321,-1,0,-1,0,-1,0,1,-4
1480688953789827,0,-1,-2,-2,0,0,0,0
1480688953789827,-4,-5,5,3,1,-1,-2,-1
1480688953818400,3,8,-5,-2,-3,-2,-3,0
1480688953818400,-2,-10,5,1,1,2,-1,1
1480688953819905,3,4,-2,-3,-2,0,-1,-3
1480688953819905,-2,-5,-3,-2,-1,-2,1,0
1480688953824417,-1,0,-2,0,1,1,0,0
1480688953824417,3,7,-1,-2,-2,-5,-1,-1
1480688953833441,-4,-2,-2,-2,-2,-2,-3,-1
1480688953833441,-2,-5,0,0,0,1,-1,0
1480688953856001,2,1,-3,2,-2,-2,2,0
1480688953856001,-1,3,-1,-2,0,0,1,1
1480688953857505,0,-6,2,2,-1,2,-1,0
1480688953857505,0,2,-2,-1,0,-1,-1,-1
1480688953878561,-2,1,0,0,0,-2,-2,1
1480688953878561,1,0,-4,-5,-1,0,-3,0
1480688953880065,-3,-2,0,2,-1,-3,-2,-1
1480688953880065,2,2,1,2,0,3,0,3
1480688953884577,1,0,-2,-1,0,-1,-1,-2
1480688953884577,0,2,-2,-5,-2,0,0,-1
1480688953899617,0,1,2,3,0,-3,1,-1
1480688953899617,-2,-2,-1,-1,-1,-1,-1,0
1480688953907638,-2,-2,-1,-2,2,-2,1,0
1480688953907638,0,2,-2,-1,0,0,-1,-2
1480688953914657,1,-1,-3,0,2,-1,-1,-1
1480688953914657,1,2,-3,-2,0,-2,0,-1
1480688953938723,1,0,-1,-2,-5,-1,-3,-2
1480688953938723,1,2,2,0,-2,-3,-1,0
1480688953944737,-3,-3,-3,-2,-3,-1,-1,0
1480688953944737,0,-2,-2,0,1,0,1,0
1480688953953763,0,2,-3,-3,-2,0,-1,-1
1480688953953763,-2,0,-3,-3,-2,0,-1,-1
1480688953959275,2,6,1,-1,-2,0,-2,-2
1480688953959275,-1,-3,1,0,1,-1,1,0
1480688953968299,-2,0,1,0,-2,-1,0,0
1480688953968299,-2,-2,0,0,1,0,0,-1
1480688953969803,1,-2,-5,-2,-1,-2,0,0
1480688953969803,0,-3,1,-2,1,0,0,0
1480688953991363,-2,-7,1,1,1,0,0,-1
1480688953991363,-1,0,-2,2,0,0,-2,0
1480688953992864,0,-1,0,-2,-1,1,-2,0
1480688953992864,0,0,1,-1,-2,0,1,0
1480688954013419,1,-3,1,1,0,0,-2,2
1480688954013419,-1,-4,0,-1,-2,-1,1,-3
1480688954014927,0,3,-1,2,1,0,0,-1
1480688954014927,-3,-1,-2,0,-2,-1,-1,-1
1480688954028459,-1,1,-2,-4,-1,-3,0,-1
1480688954028459,4,3,-1,1,1,0,-2,0
1480688954029963,0,0,-2,-3,0,-1,-1,1
1480688954029963,0,2,-2,-1,-1,-4,-4,-3
1480688954051019,0,1,2,-1,0,-1,-2,1
1480688954051019,0,-3,-2,-1,0,0,0,1
1480688954052524,0,-3,2,1,2,-2,-1,0
1480688954052524,-2,-2,-1,-1,-1,-1,-2,-1
1480688954081601,2,1,-3,-1,-1,-1,0,0
1480688954081601,-3,-3,-1,-2,-1,-3,-1,-1
1480688954083105,-6,-5,1,1,0,2,1,1
1480688954083105,4,2,-2,2,0,1,1,-1
1480688954087616,-1,2,1,0,0,0,0,-2
1480688954087616,0,-3,-6,-2,-2,-2,0,0
1480688954094636,-2,-1,3,-1,-2,-3,-3,0
1480688954094636,2,1,0,0,-1,0,-1,1
1480688954110678,-1,0,-1,-1,-1,1,0,-1
1480688954110678,0,-1,-1,1,0,-2,0,1
1480688954112182,0,-1,-3,0,0,0,0,0
1480688954112182,-2,-3,-1,-1,0,-1,-3,-1
1480688954133238,-1,1,3,3,0,-1,-2,1
1480688954133238,0,0,-5,-2,-2,0,1,-1
1480688954136747,0,-2,-2,-2,0,-2,-1,-1
1480688954136747,-1,-2,1,-1,-1,-1,0,1
1480688954156299,0,-3,-1,2,-1,0,0,-4
1480688954156299,-1,-1,0,0,0,0,0,-2
1480688954157803,0,0,-3,0,0,0,1,-1
1480688954157803,0,0,0,0,-1,0,1,0
1480688954178859,-1,-1,-3,-2,0,-2,1,0
1480688954178859,3,2,2,0,0,0,-2,2
1480688954180363,-4,-4,2,2,-1,-1,0,1
1480688954180363,3,1,-7,-2,-2,-1,-3,0
1480688954200918,0,2,-1,-2,-2,0,-2,-3
1480688954200918,-2,-7,4,3,2,1,0,0
1480688954202422,1,3,-2,-5,-3,0,-2,-1
1480688954202422,-4,-2,-1,-2,0,0,-2,1
1480688954207940,-1,-3,0,-1,0,0,0,-2
1480688954207940,-1,-5,1,2,-2,1,0,0
1480688954221975,-3,-3,0,-1,0,-2,-1,-2
1480688954221975,1,1,1,1,1,1,0,0
1480688954230998,0,-1,0,-1,0,0,-1,0
1480688954230998,-2,1,-2,-2,-1,-1,-1,-1
1480688954232502,0,-1,0,0,-1,-1,0,-1
1480688954232502,-2,-1,0,-2,-2,-2,-1,-2
1480688954253557,-2,-1,-2,-1,1,-1,0,1
1480688954253557,0,2,1,-1,-1,0,0,1
1480688954255062,4,0,-2,1,0,-1,1,1
1480688954255062,-1,0,0,0,-1,-1,2,-3
1480688954267596,0,-1,-2,-2,-2,-3,-1,-1
1480688954267596,-2,-2,-1,0,1,-1,-2,0
1480688954274618,0,-2,-1,-1,-1,0,-2,-1
1480688954274618,-2,-5,1,1,1,-1,-1,-1
1480688954290157,1,0,0,0,-1,0,-1,1
1480688954290157,2,3,-1,-2,0,-2,0,-2
1480688954298678,1,2,-3,-1,0,0,-1,-2
1480688954298678,-3,-2,-2,-1,-3,-1,-2,-1
1480688954313216,2,-2,-1,2,1,1,-1,3
1480688954313216,-2,1,1,0,-2,-1,-2,0
1480688954315222,2,1,1,-2,-1,-1,-1,0
1480688954315222,2,2,-1,0,2,1,2,0
1480688954327754,1,-7,1,-3,-4,-4,0,-3
1480688954327754,-1,0,0,0,0,0,-1,-1
1480688954341792,0,3,1,-1,-1,-2,-1,0
1480688954341792,0,-1,-3,-1,-1,0,-2,0
1480688954350817,0,2,0,-2,-2,0,0,-1
1480688954350817,-1,0,1,-2,-4,-1,-2,-1
1480688954353323,-1,-3,1,0,0,-1,0,-1
1480688954353323,-1,-6,3,0,0,-1,1,-1
1480688954373878,-2,0,-3,-1,0,-1,-1,0
1480688954373878,0,-1,1,0,0,-1,1,0
1480688954374881,-1,0,0,-2,-1,1,-1,0
1480688954374881,0,2,-4,-3,-1,0,-1,-1
1480688954388416,-1,-1,0,0,1,-2,0,-2
1480688954388416,1,-1,-2,0,1,-1,0,-1
1480688954394432,-1,-1,1,1,1,-1,-1,-1
1480688954394432,-1,-1,0,-3,-2,-1,-2,-1
1480688954411477,-3,-1,-2,-1,-2,0,-2,-1
1480688954411477,0,0,0,-1,-2,-2,-2,-3
1480688954412982,1,2,0,1,1,0,-2,0
1480688954412982,-1,2,-1,0,0,-1,-2,1
1480688954433536,-1,-1,-5,-2,-1,-2,-2,-1
1480688954433536,2,2,-1,-2,1,1,1,0
1480688954435040,-1,-4,-4,-1,-1,-1,1,-1
1480688954435040,0,1,3,4,0,0,-1,0
1480688954447072,2,3,-1,-1,0,-1,-1,0
1480688954447072,-1,-2,-2,1,1,-2,-1,1
1480688954456097,-1,2,-2,-1,-2,-1,2,-1
1480688954456097,0,-1,0,-1,-1,-2,1,-1
1480688954478382,-1,0,0,2,1,2,1,-1
1480688954478382,2,5,1,-1,-1,-2,-2,0
1480688954479889,-3,-4,0,0,1,-1,0,0
1480688954479889,1,3,-1,-2,0,0,-1,0
1480688954493424,-1,-1,-1,-1,-1,0,-1,-2
1480688954493424,0,-1,1,-1,-1,-1,0,-1
1480688954494927,-2,-1,2,2,-2,0,1,1
1480688954494927,-1,-3,-2,0,-2,-1,-1,0
1480688954506958,0,0,2,-1,-1,-1,-1,1
1480688954506958,-4,-4,0,2,1,2,-1,-1
1480688954515983,2,-1,-3,-1,-1,-1,-2,0
1480688954515983,-1,-2,0,-1,0,-1,-1,-1
1480688954531525,-2,1,0,0,0,0,2,0
1480688954531525,1,-1,-1,1,-1,0,-1,-2
1480688954533028,-2,-2,1,0,-1,-1,0,0
1480688954533028,-1,1,2,0,-1,0,-2,-1
1480688954554084,3,2,0,-1,-1,-3,2,0
1480688954554084,-2,1,-4,-2,0,-3,-3,-2
1480688954556595,-1,0,-1,0,0,0,0,0
1480688954556595,0,-2,-1,1,0,0,0,0
1480688954567118,-1,-4,-2,-2,0,-1,-2,0
1480688954567118,0,1,0,-1,-1,1,2,1
1480688954576143,0,0,1,0,-1,-1,-1,-1
1480688954576143,-2,1,-1,0,0,-1,2,-2
1480688954590682,1,1,-1,0,-2,1,-1,0
1480688954590682,0,0,1,-1,-1,-1,-1,0
1480688954592687,0,0,-1,0,1,0,-1,0
1480688954592687,-1,-3,0,0,-2,1,1,0
1480688954613241,-3,-2,1,1,0,-2,-2,0
1480688954613241,-1,-2,-1,0,-2,-1,-1,-1
1480688954614745,1,2,0,-2,-1,1,0,-1
1480688954614745,-1,-2,-1,-2,-2,-2,-1,-1
1480688954626777,3,8,-1,-1,0,-1,-2,-2
1480688954626777,0,-2,0,0,-1,0,-1,-1
1480688954637306,3,4,1,-1,1,-1,0,-1
1480688954637306,-1,-1,0,-1,0,-1,-1,0
1480688954650841,0,-1,0,1,-3,-2,-1,0
1480688954650841,-3,-4,-2,-2,0,-1,1,0
1480688954652345,-2,-1,-1,-1,-2,-2,0,-1
