timestamp,x,y,z
1480688953369206,-0.9375,-1.6875,0.5625
1480688953392271,0.625,-1.5,-1
1480688953414829,0.3125,-1.25,-1.5625
1480688953435382,-0.4375,-1.125,-2
1480688953458945,-1.625,-1.375,-2.8125
1480688953472482,-4.375,-1.5625,-3
1480688953490533,-7.375,-1.5625,-3.125
1480688953511585,-5.0625,-0.125,-3.1875
1480688953532640,-6.25,4,-4.1875
1480688953555202,-6.625,4.6875,-3.625
1480688953571745,-4.875,1,-1.0625
1480688953600321,-3.5,-0.5,-0.0625
1480688953610849,-1.375,0.75,-0.4375
1480688953631404,1.5625,-1.375,1.0625
1480688953652459,4.1875,-4.6875,2.75
1480688953677025,5.5625,-4.4375,2.375
1480688953699083,4.8125,-2.375,2.3125
1480688953713622,7.1875,-1.8125,3.125
1480688953729164,9.4375,-0.625,3.4375
1480688953751724,8.5625,0.9375,3.0625
1480688953772780,5.625,-0.3125,3.1875
1480688953789324,2.625,-2.75,3.4375
1480688953819404,0.375,-3.1875,2.3125
1480688953832940,-1.6875,-2.75,0.9375
1480688953857010,-1.75,-2,0.3125
1480688953879062,0.25,-2.125,0.0625
1480688953893602,2.25,-2.5,-1.25
1480688953908641,3.5,-3.125,-3.6875
1480688953939723,3.875,-2.125,-4.6875
1480688953954764,4.125,-0.4375,-5.5625
1480688953969301,3.375,-0.875,-6.25
1480688953992364,1.375,-3.25,-6.3125
1480688954014422,0.9375,-4.375,-6.25
1480688954028960,1.625,-4.375,-5.9375
1480688954051520,2.1875,-4.4375,-6.1875
1480688954082102,2.5625,-3.375,-6.8125
1480688954088619,2.9375,-2.0625,-7.375
1480688954111680,3.25,-1.125,-8.375
1480688954135243,3.9375,-0.25,-9.875
1480688954157302,3.1875,0.25,-10.875
1480688954179360,2.4375,0.625,-11.25
1480688954201920,2.3125,1.125,-11.75
1480688954208439,2.5,1.3125,-11.6875
1480688954231500,2.1875,1.75,-11.3125
1480688954254059,1.75,2,-10.5625
1480688954268598,1.8125,2.125,-10.125
1480688954297675,2.125,2.125,-10.125
1480688954314219,3.1875,2.375,-9.9375
1480688954328757,4.875,2.5625,-9.625
1480688954352321,5.75,2.875,-9.5625
1480688954374380,5.875,2.9375,-9.8125
1480688954388918,5.6875,2.875,-9.125
1480688954411979,5.875,2.75,-8.3125
1480688954434038,5.3125,2.5625,-8.1875
1480688954455094,4.75,2.6875,-7.9375
1480688954479385,5.5,3.25,-7.125
1480688954493925,6.0625,3.8125,-6.4375
1480688954514980,6.6875,4.3125,-5.625
1480688954532025,6.5,4.5625,-5.5625
1480688954555589,6.75,5.4375,-5.9375
1480688954575140,7.75,6.4375,-7.375
1480688954591684,7.3125,7.25,-9.3125
1480688954614244,5.9375,7.5625,-10.9375
1480688954636303,2.6875,7.3125,-11.8125
1480688954651844,0.625,7.3125,-12.5625
1480688954673902,0.375,6.9375,-12.6875
1480688954696462,0.8125,6.4375,-12.3125
1480688954719525,2.25,5.75,-11.75
1480688954735567,4.0625,4.75,-10.5625
1480688954755120,5.125,3.4375,-9.5625
1480688954777679,5.125,1.8125,-8.3125
1480688954794222,4.1875,-0.0625,-6.75
1480688954815278,2.625,-1.8125,-5
1480688954831822,2.25,-3.4375,-3.75
1480688954854383,2.4375,-4.625,-2.8125
1480688954875439,3.375,-5.6875,-2.25
1480688954891983,4.1875,-6.5625,-1.625
1480688954922063,3.1875,-7.6875,-0.1875
1480688954944121,1.6875,-8.75,1.9375
1480688954952644,-1.0625,-9.5625,4.625
1480688954974201,-3.9375,-10.5,6.5625
1480688955011802,-6.125,-11.25,7.5625
1480688955013807,-7.9375,-11.6875,6.4375
1480688955034363,-7.5625,-11.625,4.4375
1480688955056424,-7.125,-11.875,2.4375
1480688955070959,-5.9375,-12.625,0.875
1480688955094020,-4.625,-13,-0.25
1480688955116580,-1.75,-12.9375,-0.5625
1480688955131119,0.5625,-12.9375,1.5625
1480688955154182,-1.125,-12.8125,6
1480688955176740,-6.5625,-12.25,12.0625
1480688955197796,-11.9375,-11,18
1480688955221861,-13.6875,-9.6875,20.375
1480688955236399,-15.3125,-8.5625,19.5625
1480688955267481,-13.4375,-5.6875,14.9375
1480688955280015,-11.1875,-2.125,8.375
1480688955297060,-6.5625,1.3125,3
1480688955319119,-4.25,3.0625,0.875
1480688955347694,-5.8125,0.6875,2.75
1480688955356722,-5.6875,-2.75,4.875
1480688955377775,-1,-4,5.375
1480688955400334,-0.25,-2.625,3.5
1480688955424400,-0.75,-3.6875,0.4375
1480688955437434,-2.125,-6.6875,-0.75
1480688955454479,-3.125,-9.25,-2.625
1480688955477039,-1.5625,-10.0625,-2.5625
1480688955497596,-0.4375,-10.875,-1
1480688955521658,3.4375,-10.9375,-0.5625
1480688955542714,7.125,-10.8125,-0.875
1480688955565272,7.375,-9.875,-0.9375
1480688955574297,5,-8.1875,-1.5
1480688955596857,1.4375,-6.125,-2.6875
1480688955617912,-0.625,-3.625,-3.5625
1480688955634958,-1.125,-0.5625,-4.3125
1480688955664036,0.1875,2.9375,-5.1875
1480688955677571,2.3125,6.6875,-5.375
1480688955694115,3.625,10.375,-5.4375
1480688955716676,3.5,13.25,-5.625
1480688955737731,0,14.75,-5.9375
1480688955754275,-3,15.5,-6.75
1480688955782854,-5.8125,15.0625,-7.75
1480688955797892,-5.375,14.0625,-8.75
1480688955813934,-2.25,11.8125,-9.1875
1480688955844014,1.9375,8.8125,-9.5625
1480688955859054,7.375,5.4375,-9.9375
1480688955874094,11.0625,1.5,-9.25
1480688955904174,13.875,-2.9375,-8.0625
1480688955925230,14.25,-6.875,-6.75
1480688955934254,14.5625,-8.9375,-6.125
1480688955956814,14.0625,-9.75,-5.625
1480688955987896,11.75,-10.4375,-4.375
1480688955994916,8.625,-10.3125,-3.5
1480688956019982,4.875,-9.25,-2.75
1480688956045048,1.75,-7.125,-2.4375
1480688956053572,-1.375,-4.5625,-2.6875
1480688956082649,-3.25,-1.875,-3.125
1480688956098692,-4.25,-0.0625,-3.5
1480688956137295,-3.5,1.0625,-5.25
1480688956139805,-4.125,1.875,-3.375
