timestamp,x,y,z
1480534269837891,0.375,-0.0625,-0.1875
1480534269854435,1.0625,0.125,0
1480534269876995,0.4375,0.125,-0.3125
1480534269898051,0.3125,-0.25,-0.625
1480534269915096,0.4375,-0.4375,-0.6875
1480534269944675,0.3125,-0.625,-0.5625
1480534269958211,0.1875,-0.75,-0.5
1480534269981774,0.5625,-0.75,-0.5625
1480534270002937,0.8125,-0.6875,-0.25
1480534270019482,0.8125,-0.75,-0.1875
1480534270036026,0.6875,-0.625,-0.3125
1480534270057091,0.3125,-0.5625,-0.125
1480534270079641,-0.0625,-0.625,-0.4375
1480534270094682,0.9375,-0.5625,-0.5
1480534270116740,1.3125,-0.5625,-0.1875
1480534270139299,0.375,-0.6875,-0.3125
1480534270153841,0.125,-0.9375,-0.3125
1480534270176899,0.5625,-0.75,-0.125
1480534270223022,0.6875,-0.625,-0.1875
1480534270228036,0.25,-0.625,-0.1875
1480534270237063,0.1875,-0.4375,-0.25
1480534270259620,0.25,-0.0625,-0.1875
1480534270274660,0.1875,0.125,-0.3125
1480534270296718,0.3125,0.1875,-0.25
1480534270319783,0.1875,0.0625,-0.1875
1480534270333817,0.25,0,-0.0625
1480534270356878,0.0625,-0.125,0
1480534270380441,0.0625,-0.375,0
1480534270393977,0.25,-0.6875,0.125
1480534270416537,0.4375,-0.8125,-0.0625
1480534270439599,0.4375,-0.875,-0.1875
1480534270453637,0.6875,-0.75,0
1480534270477198,0.5625,-0.875,0.0625
1480534270499264,0.3125,-0.6875,0.125
1480534270520817,0.375,-0.4375,0.0625
1480534270537527,-0.375,-0.25,0.25
1480534270565433,0.125,-0.0625,-0.0625
1480534270580473,0.9375,0.4375,0.4375
1480534270597017,0.0625,0.5625,0.25
1480534270619579,-0.25,0.1875,0.0625
1480534270642137,-0.3125,0.25,-0.25
1480534270657678,-0.375,0.375,-0.4375
1480534270679737,-0.6875,0.5,-0.375
1480534270700292,0.0625,0.4375,-0.25
1480534270716836,0.125,0.4375,0
1480534270739396,-0.125,0.25,0
1480534270760452,-0.25,0.3125,0.3125
1480534270777497,-0.8125,0.1875,0.3125
1480534270800058,-0.5,0.1875,-0.0625
1480534270820612,0.5625,0.25,0.125
1480534270837657,0.375,0.25,0.125
1480534270859716,-0.25,-0.125,0.125
1480534270880270,-0.625,-0.25,0.25
1480534270897817,-0.0625,-0.1875,0.1875
1480534270919376,-0.25,-0.125,0.4375
1480534270941934,-0.6875,-0.125,0.1875
1480534270957477,-0.5,-0.0625,0.3125
1480534270980037,-0.8125,0.125,0
1480534271008110,-0.375,0.3125,0.3125
1480534271017135,-0.5625,0.4375,0.125
1480534271054735,-0.625,0.375,0.3125
1480534271064260,-0.75,0.25,0.125
1480534271076293,-0.4375,0.3125,0.4375
1480534271100857,-0.875,0,0.4375
1480534271121914,-1.0625,-0.1875,0.25
1480534271136455,-0.5,-0.0625,0.375
1480534271159514,-0.125,0.125,0.4375
1480534271182074,-0.625,-0.125,0.5625
1480534271196111,-1,-0.125,0.625
1480534271219677,-1,0.1875,0.6875
1480534271250255,-0.8125,0.0625,0.4375
1480534271256772,0.1875,0.5,0.5
1480534271285348,0,0.5625,0.625
1480534271301892,-0.75,0.25,0.3125
