timestamp,roll,pitch,yaw
1480628787058979,-0.658733,0.108899,-1.86719
1480628787073519,-0.658733,0.108899,-1.86719
1480628787096580,-0.658849,0.10897,-1.86725
1480628787119140,-0.658849,0.10897,-1.86725
1480628787140697,-0.658821,0.108989,-1.8671
1480628787156740,-0.658821,0.108989,-1.8671
1480628787179300,-0.658821,0.108989,-1.8671
1480628787193338,-0.658771,0.109062,-1.86726
1480628787223919,-0.658654,0.108991,-1.8672
1480628787238959,-0.658654,0.108991,-1.8672
1480628787267535,-0.65815,0.109235,-1.86724
1480628787277062,-0.658034,0.109164,-1.86718
1480628787305134,-0.65815,0.109235,-1.86724
1480628787320676,-0.65815,0.109235,-1.86724
1480628787336720,-0.65815,0.109235,-1.86724
1480628787359280,-0.658071,0.109327,-1.86725
1480628787387855,-0.658071,0.109327,-1.86725
1480628787396879,-0.658086,0.109362,-1.86723
1480628787418937,-0.657891,0.109384,-1.86717
1480628787439993,-0.657866,0.109077,-1.86749
1480628787456539,-0.6581,0.108711,-1.86767
1480628787479098,-0.658554,0.108541,-1.86779
1480628787500154,-0.658554,0.108541,-1.86779
1480628787517701,-0.658554,0.108541,-1.86779
1480628787539258,-0.658671,0.108612,-1.86785
1480628787560320,-0.658643,0.10863,-1.8677
1480628787576859,-0.658643,0.10863,-1.8677
1480628787598916,-0.658592,0.108704,-1.86786
1480628787620975,-0.658476,0.108633,-1.8678
1480628787636516,-0.658359,0.108562,-1.86774
1480628787665092,-0.658359,0.108562,-1.86774
1480628787680133,-0.658295,0.10869,-1.86772
1480628787696676,-0.658179,0.108619,-1.86766
1480628787725255,-0.658295,0.10869,-1.86772
1480628787741796,-0.658295,0.10869,-1.86772
1480628787758346,-0.658359,0.108562,-1.86774
1480628787778895,-0.658281,0.108654,-1.86775
1480628787801455,-0.658295,0.10869,-1.86772
1480628787816495,-0.658295,0.10869,-1.86772
1480628787839055,-0.658179,0.108619,-1.86766
1480628787861616,-0.658179,0.108619,-1.86766
1480628787876657,-0.657984,0.108641,-1.86761
1480628787899717,-0.658091,0.10853,-1.86775
1480628787921776,-0.657613,0.108483,-1.86774
1480628787942832,-0.657613,0.108483,-1.86774
1480628787959376,-0.657729,0.108554,-1.8678
1480628787982437,-0.657729,0.108554,-1.8678
1480628787995973,-0.657729,0.108554,-1.8678
1480628788019034,-0.657534,0.108575,-1.86775
1480628788047611,-0.657534,0.108575,-1.86775
1480628788056132,-0.657418,0.108505,-1.86769
1480628788086714,-0.657446,0.108486,-1.86784
1480628788101754,-0.65751,0.108359,-1.86786
