timestamp,x,y,z
1480533657129056,3.5625,-2.0625,3.8125
1480533657169163,4.5,-2.6875,3.3125
1480533657170167,2.625,-2.625,2.5625
1480533657182198,-0.4375,-2.625,2.4375
1480533657205259,-4.9375,-2.4375,2.25
1480533657219296,-5.8125,-2.25,2.0625
1480533657243363,-2.625,-2.0625,1.375
1480533657264416,1.875,-1.9375,1.375
1480533657279456,4.0625,-2.375,0.625
1480533657302016,2.25,-2.1875,0.6875
1480533657324582,2.3125,-2.875,0.5
1480533657339618,3,-3.125,-0.4375
1480533657362179,5,-2.875,-0.125
1480533657384736,4.625,-2.3125,0.375
1480533657399274,2.1875,-1.3125,0.125
1480533657422338,7.1875,-1.1875,-0.375
1480533657444396,11.1875,-1.75,-0.75
1480533657459435,8,-1.875,-0.5
1480533657481995,7.125,-1.75,0.125
1480533657504555,7.9375,-1.125,1.125
1480533657527115,5.3125,-0.75,1.3125
1480533657565216,2.75,-0.625,1.8125
1480533657566219,3.9375,-0.625,2.125
1480533657589282,5.1875,-0.4375,2.5625
1480533657605325,4.125,0.8125,3.25
1480533657625877,5.0625,-1.8125,4.125
1480533657655959,3.0625,2.5625,6
1480533657663477,8,-2.9375,0.0625
1480533657686539,4.375,3.3125,5.625
1480533657709098,-1.5,2.8125,4.875
1480533657723640,1.5,-1.3125,2.25
1480533657746198,3.9375,-2.9375,0.5625
1480533657774774,0.625,-2.0625,1.375
1480533657783798,-2.8125,0.8125,3.0625
1480533657806361,-1.3125,3.0625,3.8125
1480533657828923,3.25,-0.6875,1.1875
1480533657852480,0.1875,-2.5,-0.4375
1480533657866018,3.875,1.625,2.75
1480533657888577,2.875,-2.9375,-0.8125
1480533657903115,5.375,-0.375,0.3125
1480533657926177,4.875,-1.75,-1.625
1480533657954251,6.8125,-2.125,-0.5
1480533657969792,4.1875,-1.25,-0.375
1480533657986838,0.0625,-1.75,-1.9375
1480533658008396,1.125,-2.1875,-1.625
1480533658022938,4.25,-2.5625,-1
1480533658055019,4.6875,-2.5,-0.0625
1480533658085099,4.875,-2,-0.0625
1480533658097131,6.5625,-1.5,0.125
1480533658106157,7.0625,-1.4375,-0.625
1480533658129718,7.6875,-1.1875,1
1480533658158796,5.75,-1.625,1.5
1480533658173839,-0.5,-1.625,1.6875
1480533658188378,-2.8125,-1.125,1.25
1480533658210934,3.125,-0.25,1.6875
1480533658233995,5.625,-1.5,2.375
1480533658248032,0,-0.75,1.5
1480533658271094,5.8125,-0.1875,1.75
1480533658293654,4.625,-2.1875,1.5625
1480533658308694,3.125,0.4375,0.75
1480533658331253,9.0625,-2.875,0.25
1480533658359830,3.625,-0.4375,0.25
1480533658374878,-0.6875,-2.3125,-0.1875
1480533658390916,1.9375,-0.4375,-0.375
1480533658413472,-3.5625,-0.5625,-0.5625
1480533658428013,9.625,-2.1875,-1.5625
1480533658452075,-1.375,-0.1875,-3.625
1480533658474138,1.8125,-3.25,-1.5625
1480533658487671,4,-1.875,-1
1480533658518752,-5.875,-2.0625,-2.1875
1480533658558859,5.0625,-3.5625,-0.6875
1480533658571394,-5.5,-0.75,1.375
1480533658573902,-1.375,-3.375,0
1480533658585932,8.25,-3.75,-0.5
1480533658606992,7.625,-2.5625,2.625
1480533658623032,3.3125,-2.5625,-0.1875
1480533658646092,2.75,-2.5625,-0.6875
