timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480697712440171,-10,-3,-18,-5,-2,2,-1,-1
1480697712440171,-3,0,4,1,0,-3,-1,0
1480697712441677,-4,3,1,-1,0,-1,0,-2
1480697712441677,-3,-3,4,1,0,-1,0,-1
1480697712463828,1,1,23,1,1,0,-1,1
1480697712463828,-5,-5,1,3,-1,1,1,-3
1480697712464736,-10,-1,-33,-2,-1,0,1,14
1480697712464736,17,4,-7,1,-1,-1,-2,-13
1480697712493312,-6,8,1,-1,-2,1,0,3
1480697712493312,-1,4,-16,-4,-1,1,0,1
1480697712494315,7,10,33,1,1,0,-2,1
1480697712494315,-13,-10,-1,-1,-1,-2,-4,-17
1480697712509355,-8,-1,3,-1,-2,-3,-1,-1
1480697712509355,5,-2,1,-1,-2,-1,0,-4
1480697712509856,-4,4,-2,-1,0,-1,1,-2
1480697712509856,2,2,7,-1,-1,0,-1,3
1480697712538933,0,-6,-11,-2,0,-2,-1,-3
1480697712538933,-6,-3,10,-1,-2,1,0,-3
1480697712539936,0,-5,-10,0,0,-2,-1,4
1480697712539936,-1,0,6,-2,1,-1,2,-1
1480697712541443,-1,0,-7,0,1,1,-2,0
1480697712541443,7,1,12,3,0,-2,1,2
1480697712561494,-2,2,15,3,1,2,-1,-4
1480697712561494,-9,-13,-53,-7,-4,-3,-2,-10
1480697712562997,-5,-3,-12,1,0,0,0,2
1480697712562997,4,2,19,0,-1,-1,-1,5
1480697712564001,-1,-2,-6,0,-2,-1,0,-9
1480697712564001,1,9,8,2,-1,0,2,17
1480697712583553,-8,-8,1,-3,1,1,-2,-11
1480697712583553,0,2,-11,1,0,-3,1,-1
1480697712584055,6,2,3,0,-1,0,2,9
1480697712584055,-18,10,-28,-3,-2,-2,-2,-26
1480697712597088,-26,-2,13,1,-2,-1,-2,-9
1480697712597088,-6,3,-16,1,1,-1,1,5
1480697712605110,-4,-2,5,-5,-1,0,-3,-5
1480697712605110,12,1,12,2,0,1,-1,7
1480697712620149,13,-3,-1,-1,-3,-1,-3,1
1480697712620149,-5,1,4,0,1,1,-1,-5
1480697712644729,-6,-5,-23,-1,0,-1,0,-3
1480697712644729,3,-5,10,-1,-1,0,0,5
1480697712646219,5,1,-1,-2,1,-1,-6,-4
1480697712646219,3,-3,1,-2,0,4,16,11
1480697712647221,-3,-4,-5,1,-2,1,-3,-4
1480697712647221,0,-1,17,0,0,2,11,8
1480697712665770,7,0,-9,2,1,0,3,5
1480697712665770,-1,-2,9,-2,-1,-3,-5,0
1480697712666273,-3,-4,-24,-4,-1,-1,1,-22
1480697712666273,-11,2,-4,0,1,-1,1,6
1480697712680309,0,-3,10,-3,-4,-3,0,-5
1480697712680309,3,-11,13,1,2,-1,-5,-7
1480697712680811,0,-1,-20,1,0,-3,-4,3
1480697712680811,-5,-10,10,4,2,2,-5,1
1480697712703370,7,-1,5,0,-1,1,3,-7
1480697712703370,-1,1,-17,-1,-2,-2,-4,4
1480697712704373,0,-3,30,-2,-1,-1,-1,9
1480697712704373,7,2,-64,-6,-2,0,-2,1
1480697712716907,1,2,9,-1,1,-2,2,4
1480697712716907,-6,-3,-24,-1,-2,1,-2,-14
1480697712724928,12,-1,17,3,-1,1,-1,4
1480697712724928,-18,-1,14,1,0,-2,-1,-3
1480697712739968,8,-2,-5,0,-2,-1,0,6
1480697712739968,-23,3,3,-1,-1,-2,-1,-4
1480697712740970,1,5,-5,0,1,0,2,3
1480697712740970,17,3,30,1,-1,2,-1,15
1480697712762528,1,-6,-37,-3,-1,0,3,-10
1480697712762528,-8,0,15,-2,-2,-3,-5,-5
1480697712770048,-6,1,-4,-1,-3,-1,1,-5
1480697712770048,-5,-6,29,2,1,-1,2,9
1480697712801633,-2,-1,-1,0,1,1,1,6
1480697712801633,13,4,-17,-1,1,1,0,-2
1480697712817175,-5,-1,13,0,-1,-2,0,-1
1480697712817175,4,1,-5,-2,-3,-3,-2,-8
1480697712818677,0,3,-4,3,1,0,-3,5
1480697712818677,0,-2,7,-2,-2,-1,-4,4
1480697712819680,4,3,-5,0,-1,-1,1,0
1480697712819680,-8,-2,9,-3,-2,-1,0,-2
1480697712840234,1,0,2,-1,0,-1,-4,-5
1480697712840234,6,12,6,-1,-1,1,0,5
1480697712841239,0,-3,4,2,0,1,-2,0
1480697712841239,3,-1,8,0,1,0,-1,-5
1480697712861792,14,-2,-6,-1,0,-3,-1,1
1480697712861792,2,-2,-23,-1,0,-1,-1,4
1480697712862794,-1,2,6,-3,-2,0,0,-8
1480697712862794,-3,-1,19,1,-2,-1,-1,6
1480697712884856,11,-5,-33,0,0,2,3,14
1480697712884856,-22,-3,28,-1,-1,0,1,-6
1480697712885355,-6,-3,-34,-2,-1,0,-2,2
1480697712885355,-3,-8,6,0,0,0,-2,-3
1480697712886859,0,1,11,-2,-2,-1,0,-3
1480697712886859,10,0,5,1,-3,-1,-1,1
1480697712897386,-8,4,21,1,2,1,0,3
1480697712897386,7,0,-36,-3,-3,0,-1,-1
1480697712907414,-7,-1,23,1,-2,-1,-3,-1
1480697712907414,4,-1,-22,0,-1,0,1,7
1480697712908416,-4,-4,8,-1,-2,-3,1,-13
1480697712908416,10,2,-18,1,2,-1,-1,-4
1480697712919946,-6,-1,13,-1,-2,-1,0,1
1480697712919946,1,2,8,0,1,-2,-1,-7
1480697712921952,-1,0,4,2,0,-1,0,17
1480697712921952,11,1,-10,-2,0,-1,-1,-5
1480697712943009,-1,0,-3,-1,0,0,0,-5
1480697712943009,3,2,5,-2,0,1,0,8
1480697712944010,0,-2,-9,-2,1,0,-2,-2
1480697712944010,-4,1,21,0,-1,0,0,-1
1480697712966069,-3,-1,5,0,-2,-1,1,10
1480697712966069,5,-4,-30,-3,-2,-2,-2,-20
1480697712966570,-10,-10,-3,0,0,-2,-4,-8
1480697712966570,22,8,13,-1,-4,-1,-1,8
1480697712980106,-30,-1,7,-1,0,1,-2,-2
1480697712980106,3,-4,14,3,-1,1,-1,4
1480697712981113,5,-5,-6,2,1,1,-1,-1
1480697712981113,-4,-2,-7,-4,-2,-3,-2,-5
1480697713003167,2,2,-4,0,1,0,-1,-5
