timestamp,roll,pitch,yaw
1480697712426134,-1.11695,0.145526,1.54396
1480697712447190,-1.11683,0.14545,1.54396
1480697712465739,-1.11683,0.14545,1.54396
1480697712494816,-1.11683,0.14545,1.54396
1480697712510358,-1.11683,0.14545,1.54396
1480697712540437,-1.11695,0.145526,1.54396
1480697712562496,-1.11691,0.145514,1.5438
1480697712574527,-1.11691,0.145514,1.5438
1480697712585059,-1.11702,0.145443,1.54388
1480697712606112,-1.11714,0.145519,1.54389
1480697712645719,-1.11714,0.145519,1.54389
1480697712649728,-1.11731,0.145361,1.54428
1480697712672288,-1.11716,0.145041,1.54459
1480697712686827,-1.11716,0.145041,1.54459
1480697712704876,-1.11716,0.145041,1.54459
1480697712725930,-1.11716,0.145041,1.54459
1480697712747990,-1.11716,0.145041,1.54459
1480697712771052,-1.11716,0.145041,1.54459
1480697712818180,-1.11716,0.145041,1.54459
1480697712839733,-1.11716,0.145041,1.54459
1480697712842242,-1.11716,0.145041,1.54459
1480697712863296,-1.11716,0.145041,1.54459
1480697712886357,-1.11716,0.145041,1.54459
1480697712906411,-1.11716,0.145041,1.54459
1480697712908919,-1.11714,0.145081,1.54459
1480697712926967,-1.11686,0.145212,1.54474
1480697712949525,-1.11684,0.145252,1.54474
1480697712967573,-1.11684,0.145252,1.54474
1480697712988128,-1.11694,0.14518,1.54482
1480697713005173,-1.11694,0.14518,1.54482
1480697713027232,-1.11694,0.14518,1.54482
1480697713047787,-1.11697,0.14514,1.54482
1480697713075862,-1.11697,0.14514,1.54482
1480697713094912,-1.11697,0.14514,1.54482
1480697713117472,-1.11695,0.145088,1.54466
1480697713132512,-1.11682,0.145012,1.54466
1480697713148053,-1.11705,0.145017,1.54475
1480697713170112,-1.11705,0.145017,1.54475
1480697713185655,-1.11705,0.145017,1.54475
1480697713210720,-1.11705,0.145017,1.54475
1480697713227264,-1.11735,0.145126,1.54467
1480697713244810,-1.11745,0.145055,1.54475
1480697713267371,-1.11745,0.145055,1.54475
1480697713304470,-1.11758,0.145131,1.54475
1480697713317003,-1.11808,0.14538,1.54453
1480697713327530,-1.11873,0.145478,1.54438
1480697713347082,-1.11875,0.145534,1.54415
1480697713372650,-1.11865,0.145605,1.54407
1480697713395211,-1.11852,0.145529,1.54407
1480697713417272,-1.11854,0.145581,1.54422
1480697713429301,-1.11852,0.145529,1.54407
1480697713454869,-1.11852,0.145529,1.54407
1480697713491467,-1.11922,0.145113,1.54425
1480697713493973,-1.11929,0.144134,1.5442
1480697713513024,-1.11876,0.143689,1.54396
1480697713536085,-1.11885,0.143565,1.54389
1480697713545109,-1.11978,0.143532,1.5436
1480697713568186,-1.12053,0.143746,1.54346
1480697713588725,-1.12056,0.143801,1.54323
1480697713604769,-1.12046,0.143592,1.54308
1480697713628330,-1.12048,0.143552,1.54308
1480697713671445,-1.12036,0.143476,1.54308
1480697713673952,-1.1208,0.143716,1.54277
1480697713692000,-1.12147,0.144149,1.54247
1480697713717570,-1.12147,0.144149,1.54247
1480697713737621,-1.12114,0.143935,1.54223
1480697713754672,-1.12054,0.143666,1.54223
1480697713769706,-1.12066,0.143742,1.54223
1480697713792266,-1.12064,0.143782,1.54223
1480697713813824,-1.12062,0.14373,1.54207
1480697713829867,-1.12075,0.143806,1.54207
1480697713844906,-1.12075,0.143806,1.54207
1480697713871978,-1.12075,0.143806,1.54207
1480697713890026,-1.12077,0.143858,1.54223
1480697713915093,-1.12024,0.143932,1.54214
1480697713927626,-1.11954,0.144066,1.54227
1480697713963221,-1.11954,0.144066,1.54227
1480697713971744,-1.11942,0.14399,1.54227
1480697713994805,-1.11942,0.14399,1.54227
1480697714024384,-1.11942,0.14399,1.54227
1480697714030400,-1.11993,0.144195,1.54243
1480697714048448,-1.12043,0.144349,1.54244
1480697714070507,-1.12043,0.144349,1.54244
1480697714097579,-1.12043,0.144349,1.54244
1480697714107105,-1.12043,0.144349,1.54244
1480697714129162,-1.12127,0.144624,1.54253
1480697714150219,-1.12195,0.1452,1.54253
1480697714166763,-1.12191,0.145188,1.54237
1480697714195840,-1.12203,0.145264,1.54237
1480697714249482,-1.12203,0.145264,1.54237
1480697714251989,-1.12205,0.145317,1.54253
1480697714258005,-1.12193,0.145241,1.54253
1480697714278559,-1.12205,0.145317,1.54253
1480697714300117,-1.12205,0.145317,1.54253
1480697714323178,-1.12193,0.145241,1.54253
1480697714330196,-1.12205,0.145317,1.54253
1480697714347242,-1.12205,0.145317,1.54253
1480697714384842,-1.12205,0.145317,1.54253
1480697714390356,-1.12151,0.145243,1.54252
1480697714406400,-1.12048,0.145068,1.54265
1480697714430964,-1.11944,0.145266,1.54301
1480697714451021,-1.1193,0.145279,1.54355
1480697714466559,-1.11948,0.14536,1.54401
1480697714504661,-1.11946,0.145308,1.54386
1480697714534243,-1.11937,0.145336,1.54417
1480697714557301,-1.11935,0.145284,1.54401
1480697714559807,-1.11935,0.145284,1.54401
