timestamp,x,y,z
1480519075161450,-0.236816,-0.925781,-0.354004
1480519075185514,-0.237793,-0.916504,-0.35498
1480519075199680,-0.25293,-0.927246,-0.359863
1480519075221611,-0.269043,-0.93457,-0.34668
1480519075239659,-0.262207,-0.913086,-0.339844
1480519075259211,-0.270996,-0.931152,-0.341797
1480519075281771,-0.279785,-0.957031,-0.360352
1480519075299820,-0.259277,-0.917969,-0.357422
1480519075326896,-0.223633,-0.914551,-0.351563
1480519075348949,-0.216309,-0.945801,-0.354492
1480519075359477,-0.219238,-0.916992,-0.36084
1480519075380535,-0.218262,-0.888184,-0.366211
1480519075404598,-0.234375,-0.916016,-0.367188
1480519075419638,-0.24707,-0.908691,-0.366211
1480519075439189,-0.254883,-0.898438,-0.358887
1480519075461749,-0.263184,-0.915527,-0.361816
1480519075479798,-0.270996,-0.928711,-0.350586
1480519075502859,-0.26416,-0.912109,-0.351074
1480519075521408,-0.251465,-0.925293,-0.343262
1480519075539456,-0.242188,-0.936035,-0.334961
1480519075559008,-0.233887,-0.915527,-0.341797
1480519075581568,-0.225586,-0.916504,-0.343262
1480519075607136,-0.240234,-0.936523,-0.34668
1480519075619168,-0.246582,-0.925781,-0.349609
1480519075641728,-0.249512,-0.923828,-0.341309
1480519075660277,-0.255371,-0.939941,-0.338867
1480519075680832,-0.255859,-0.930176,-0.334473
1480519075701387,-0.247559,-0.914551,-0.337891
1480519075719937,-0.255371,-0.935547,-0.34375
1480519075740493,-0.253906,-0.930176,-0.336426
1480519075761546,-0.242188,-0.913086,-0.337402
1480519075779595,-0.242676,-0.934082,-0.340332
1480519075800651,-0.243652,-0.942383,-0.342285
1480519075821706,-0.241699,-0.921875,-0.342773
1480519075839253,-0.247559,-0.929199,-0.339355
1480519075860810,-0.257324,-0.942383,-0.331055
1480519075881866,-0.253418,-0.919922,-0.327148
1480519075899414,-0.245605,-0.921387,-0.331543
1480519075920469,-0.248535,-0.938477,-0.330566
1480519075941526,-0.244629,-0.927246,-0.334961
1480519075959574,-0.235352,-0.919434,-0.335938
1480519075980630,-0.249512,-0.941895,-0.335449
1480519076001686,-0.255859,-0.931152,-0.333496
1480519076019734,-0.250977,-0.914063,-0.329102
1480519076049312,-0.256348,-0.933105,-0.329102
1480519076068868,-0.248535,-0.933105,-0.33252
1480519076079393,-0.244629,-0.912598,-0.333008
1480519076106464,-0.245117,-0.933105,-0.330078
1480519076129025,-0.252441,-0.944824,-0.324707
1480519076139552,-0.246582,-0.925781,-0.327637
1480519076162614,-0.246582,-0.929199,-0.325195
1480519076181664,-0.254395,-0.940918,-0.318848
1480519076199713,-0.253418,-0.92334,-0.326172
1480519076222272,-0.249023,-0.92041,-0.324219
1480519076241824,-0.259277,-0.941406,-0.324219
1480519076259371,-0.253418,-0.929199,-0.328613
1480519076281931,-0.250977,-0.923828,-0.331055
1480519076301483,-0.25293,-0.942871,-0.319336
1480519076319531,-0.252441,-0.936035,-0.322266
1480519076342091,-0.239746,-0.922852,-0.323242
1480519076361643,-0.246582,-0.941406,-0.316406
1480519076379692,-0.251465,-0.946289,-0.318359
1480519076402251,-0.248535,-0.922363,-0.322266
1480519076421802,-0.249023,-0.932617,-0.328613
1480519076440355,-0.256348,-0.942871,-0.325684
1480519076461910,-0.247559,-0.92627,-0.328613
1480519076481461,-0.242676,-0.931641,-0.326172
1480519076504021,-0.253418,-0.941895,-0.316895
1480519076522073,-0.25293,-0.924316,-0.321289
1480519076557664,-0.249023,-0.916504,-0.318359
1480519076564182,-0.252441,-0.941406,-0.319336
1480519076582229,-0.250488,-0.937988,-0.316895
1480519076609301,-0.240234,-0.92334,-0.32373
1480519076624341,-0.243652,-0.943359,-0.317871
1480519076641889,-0.24707,-0.937012,-0.318848
1480519076662945,-0.239746,-0.915039,-0.32373
1480519076684000,-0.246094,-0.931641,-0.328613
1480519076702048,-0.253418,-0.9375,-0.32666
1480519076723105,-0.248047,-0.919434,-0.321777
1480519076747169,-0.244629,-0.928223,-0.321289
1480519076762209,-0.251953,-0.941895,-0.324707
1480519076783266,-0.246094,-0.92334,-0.319824
1480519076804320,-0.246582,-0.928223,-0.323242
1480519076827884,-0.253906,-0.946289,-0.321777
1480519076850443,-0.255859,-0.929199,-0.319336
1480519076863985,-0.248047,-0.92334,-0.323242
1480519076888043,-0.249512,-0.945313,-0.320313
1480519076903083,-0.251953,-0.9375,-0.317871
1480519076924139,-0.249023,-0.922363,-0.319824
1480519076942187,-0.248535,-0.94043,-0.317871
1480519076964751,-0.251465,-0.942871,-0.309082
1480519076984299,-0.247559,-0.92041,-0.314453
1480519077001846,-0.249023,-0.933594,-0.317871
1480519077024406,-0.256836,-0.946289,-0.321777
1480519077043957,-0.246582,-0.920898,-0.32373
1480519077062006,-0.248047,-0.925781,-0.330078
1480519077084566,-0.254883,-0.944824,-0.327637
1480519077105628,-0.256836,-0.925293,-0.32959
1480519077122674,-0.251953,-0.926758,-0.318848
1480519077144732,-0.258301,-0.938965,-0.322266
1480519077164284,-0.257813,-0.926758,-0.321289
1480519077182332,-0.249023,-0.921387,-0.324707
1480519077204391,-0.250488,-0.939941,-0.324219
1480519077223942,-0.254883,-0.937012,-0.318848
1480519077241992,-0.242188,-0.921875,-0.321777
