timestamp,x,y,z
1480607524154475,-0.625,-0.875,-0.5
1480607524160993,0.4375,-0.5625,-0.125
1480607524174527,0.5625,-0.3125,0.25
1480607524197087,-0.8125,-0.125,0.5625
1480607524212127,-1.625,0.3125,0.5625
1480607524228171,-0.1875,0.625,0.4375
1480607524249226,1.75,0.8125,0.375
1480607524274794,0.8125,0.375,0.125
1480607524290838,-0.5625,0.1875,-0.125
1480607524309387,-0.25,0.1875,-0.0625
1480607524339471,-0.625,0,0.125
1480607524349995,-1,0,-0.0625
1480607524369546,-0.375,0,-0.375
1480607524392107,1.125,0.0625,-0.25
1480607524440235,2.1875,-0.1875,-0.3125
1480607524445749,0.625,-0.4375,-0.4375
1480607524475328,-0.5625,-0.625,-0.25
1480607524484854,-0.5625,-0.5,-0.25
1480607524489365,-0.6875,-0.5,-0.375
1480607524519446,-0.125,-0.25,-0.375
1480607524534485,0.375,0,-0.625
1480607524551029,0.8125,-0.0625,-0.4375
1480607524572086,1.1875,-0.4375,-0.0625
1480607524595648,0,-0.375,0.125
1480607524618208,-1.625,-0.25,0.1875
1480607524631744,-0.9375,-0.3125,0.375
1480607524654807,0,0.0625,0.3125
1480607524669345,0.125,0.1875,0.3125
1480607524694912,-0.375,0.3125,0.3125
1480607524715967,-0.4375,0.5,0.375
1480607524745046,-0.75,0.75,0.3125
1480607524759584,0.0625,0.625,0.6875
1480607524783147,0.25,0.5,0.3125
1480607524797184,-0.5,0.1875,0
1480607524819746,-0.1875,-0.125,-0.0625
1480607524834283,0.875,-0.3125,-0.25
1480607524849322,0.8125,-0.75,-0.375
1480607524874891,-0.3125,-0.875,-0.5
1480607524897452,-0.3125,-0.875,-1
1480607524909483,0.5625,-0.6875,-0.9375
1480607524932043,1.6875,-0.5625,-0.8125
1480607524954603,1,-0.75,-0.3125
1480607524969645,-0.625,-0.875,0
1480607524991701,-0.4375,-0.5625,0.1875
1480607525031306,0.1875,0.0625,0.625
1480607525033814,-1.1875,0.125,0.5625
1480607525051861,-2,0.4375,0.3125
1480607525074421,-0.25,0.5,0.3125
1480607525089461,0.625,0.4375,0.4375
1480607525112021,0.4375,0.875,0.5625
1480607525134584,-0.6875,0.8125,0.25
1480607525158646,-1.0625,0.5,-0.5
1480607525172183,0.1875,0.25,-0.3125
1480607525203769,1.75,0,-0.0625
1480607525219809,1.1875,-0.25,-0.3125
1480607525231840,-0.5,-1,-0.375
1480607525263926,-0.875,-1.125,-0.8125
1480607525270945,0.375,-0.625,-0.625
