timestamp,x,y,z,w
1480613047766334,-0.287659,-0.472656,0.699585,0.452148
1480613047781375,-0.287659,-0.472656,0.699585,0.452148
1480613047803935,-0.287659,-0.472656,0.699585,0.452148
1480613047818473,-0.287659,-0.472656,0.699524,0.452148
1480613047841033,-0.28772,-0.472656,0.699585,0.452148
1480613047856075,-0.287659,-0.472656,0.699585,0.452148
1480613047878633,-0.287659,-0.472656,0.699585,0.452148
1480613047908714,-0.287659,-0.472656,0.699585,0.452148
1480613047915732,-0.287659,-0.472656,0.699524,0.452148
1480613047953833,-0.28772,-0.472717,0.699524,0.452087
1480613047961353,-0.28772,-0.472717,0.699524,0.452087
1480613047983913,-0.287781,-0.472717,0.699524,0.452087
1480613048007977,-0.28772,-0.472717,0.699524,0.452087
1480613048021012,-0.28772,-0.472717,0.699524,0.452087
1480613048043572,-0.28772,-0.472717,0.699524,0.452087
1480613048059113,-0.28772,-0.472717,0.699524,0.452087
1480613048081673,-0.28772,-0.472717,0.699524,0.452087
1480613048095711,-0.28772,-0.472778,0.699524,0.452087
1480613048120778,-0.28772,-0.472778,0.699524,0.452087
1480613048141332,-0.28772,-0.472778,0.699524,0.452087
1480613048155370,-0.28772,-0.472778,0.699524,0.452087
1480613048185950,-0.28772,-0.472778,0.699463,0.452087
1480613048201993,-0.28772,-0.472778,0.699463,0.452087
1480613048239094,-0.287842,-0.472961,0.69928,0.452087
1480613048241599,-0.287842,-0.472961,0.69928,0.452087
1480613048261652,-0.287842,-0.472961,0.69928,0.452087
1480613048282207,-0.287842,-0.472961,0.69928,0.452087
1480613048299756,-0.287842,-0.472961,0.699341,0.452087
1480613048321311,-0.287842,-0.472961,0.699341,0.452087
1480613048342367,-0.287842,-0.472961,0.699341,0.452087
1480613048364927,-0.287842,-0.472961,0.699341,0.452087
1480613048381972,-0.287903,-0.472961,0.699341,0.452087
1480613048403030,-0.287842,-0.472961,0.699341,0.452087
1480613048418569,-0.287964,-0.473145,0.69928,0.451904
1480613048441129,-0.287903,-0.473145,0.69928,0.451904
1480613048462186,-0.287964,-0.473145,0.699219,0.451904
1480613048478729,-0.287964,-0.473206,0.699219,0.451904
1480613048515326,-0.288025,-0.473328,0.699097,0.451965
1480613048522345,-0.287964,-0.473328,0.699097,0.451965
1480613048538891,-0.287964,-0.473328,0.699097,0.451965
1480613048561450,-0.287964,-0.473328,0.699097,0.451965
1480613048582506,-0.287964,-0.473389,0.699036,0.451965
1480613048598549,-0.287964,-0.473328,0.699097,0.451965
1480613048627124,-0.288025,-0.473328,0.699097,0.451965
1480613048643669,-0.288025,-0.473328,0.699097,0.451965
1480613048658709,-0.288025,-0.473328,0.699097,0.451965
1480613048682271,-0.288025,-0.473328,0.699097,0.451965
1480613048705335,-0.288025,-0.473328,0.699097,0.451965
1480613048719872,-0.288025,-0.473328,0.699097,0.451965
1480613048748948,-0.288025,-0.473328,0.699097,0.451965
1480613048764490,-0.288025,-0.473328,0.699097,0.451904
1480613048786047,-0.288025,-0.473389,0.699097,0.451965
1480613048801588,-0.288025,-0.473328,0.699097,0.451965
1480613048824148,-0.287964,-0.473389,0.699036,0.451965
1480613048838688,-0.288025,-0.473389,0.699036,0.451965
1480613048861247,-0.288025,-0.473389,0.699036,0.451965
1480613048883808,-0.288025,-0.47345,0.699036,0.451965
1480613048906367,-0.288025,-0.47345,0.699036,0.451904
1480613048927423,-0.288025,-0.47345,0.699036,0.451904
1480613048945972,-0.288025,-0.47345,0.698975,0.451965
1480613048972044,-0.288025,-0.47345,0.698975,0.451965
1480613048981066,-0.288025,-0.47345,0.699036,0.451965
1480613049003627,-0.288025,-0.473267,0.699158,0.451904
1480613049018165,-0.288086,-0.473145,0.69928,0.451904
1480613049041728,-0.288086,-0.473083,0.69928,0.451843
1480613049065792,-0.288086,-0.473083,0.69928,0.451904
1480613049078826,-0.288086,-0.473145,0.699219,0.451843
1480613049101386,-0.288025,-0.473083,0.69928,0.451904
1480613049123445,-0.288086,-0.473083,0.699219,0.451904
1480613049144501,-0.288086,-0.473145,0.699219,0.451904
1480613049161546,-0.288086,-0.473145,0.699219,0.451904
1480613049183605,-0.288086,-0.473145,0.699219,0.451904
1480613049204662,-0.288086,-0.473145,0.699219,0.451904
1480613049221208,-0.288086,-0.473145,0.699219,0.451904
1480613049243263,-0.288086,-0.473145,0.699219,0.451904
1480613049264822,-0.288086,-0.473206,0.699158,0.451904
1480613049286880,-0.288086,-0.473206,0.699158,0.451904
1480613049308436,-0.288086,-0.473206,0.699158,0.451904
1480613049324981,-0.288147,-0.473206,0.699158,0.451904
1480613049341023,-0.288147,-0.473206,0.699158,0.451843
1480613049371104,-0.288147,-0.473206,0.699158,0.451843
1480613049386144,-0.288147,-0.473206,0.699158,0.451843
1480613049401183,-0.288208,-0.473206,0.699158,0.451843
1480613049432771,-0.288208,-0.473206,0.699158,0.451843
1480613049444800,-0.288208,-0.473206,0.699158,0.451843
1480613049469365,-0.288208,-0.473206,0.699158,0.451843
1480613049483904,-0.288208,-0.473206,0.699158,0.451843
1480613049504963,-0.288208,-0.473206,0.699158,0.451843
1480613049521002,-0.288208,-0.473267,0.699158,0.451843
1480613049551083,-0.288208,-0.473267,0.699158,0.451843
1480613049573642,-0.288269,-0.473267,0.699097,0.451782
1480613049581163,-0.288269,-0.473267,0.699097,0.451782
1480613049603723,-0.288269,-0.473328,0.699097,0.451782
1480613049626283,-0.288208,-0.473328,0.699097,0.451782
1480613049648842,-0.288269,-0.473389,0.699036,0.451782
1480613049663886,-0.288269,-0.473389,0.699036,0.451782
1480613049686945,-0.288269,-0.473389,0.699036,0.451782
1480613049709002,-0.288269,-0.473389,0.699036,0.451782
1480613049723541,-0.288269,-0.473389,0.699036,0.451782
1480613049746101,-0.288147,-0.473206,0.699219,0.451782
1480613049764150,-0.288147,-0.473206,0.699219,0.451782
1480613049783702,-0.288147,-0.473206,0.699219,0.451782
1480613049805761,-0.288208,-0.473267,0.699219,0.451782
1480613049828822,-0.288208,-0.473267,0.699219,0.451721
1480613049843866,-0.288208,-0.473267,0.699219,0.451721
1480613049868427,-0.288208,-0.473267,0.699158,0.451721
1480613049880961,-0.288208,-0.473267,0.699158,0.451721
1480613049903520,-0.288208,-0.473328,0.699158,0.451721
1480613049926581,-0.288208,-0.473328,0.699158,0.451721
1480613049940621,-0.288208,-0.473328,0.699158,0.451721
1480613049964183,-0.288269,-0.473328,0.699158,0.451721
1480613049986240,-0.288269,-0.473328,0.699158,0.451721
1480613050000278,-0.288208,-0.473328,0.699097,0.451721
1480613050023841,-0.288269,-0.473389,0.699097,0.451721
1480613050046400,-0.288269,-0.473389,0.699097,0.451721
1480613050060438,-0.288269,-0.473389,0.699097,0.45166
1480613050089516,-0.28833,-0.473389,0.699097,0.45166
1480613050107062,-0.28833,-0.47345,0.699097,0.45166
1480613050127116,-0.28833,-0.47345,0.699097,0.45166
1480613050143659,-0.28833,-0.47345,0.699097,0.45166
1480613050173740,-0.28833,-0.47345,0.699097,0.45166
1480613050187275,-0.28833,-0.47345,0.699097,0.45166
1480613050211344,-0.28833,-0.47345,0.699097,0.45166
1480613050226380,-0.28833,-0.47345,0.699097,0.45166
1480613050246934,-0.28833,-0.47345,0.699036,0.45166
1480613050263478,-0.288208,-0.47345,0.699097,0.451721
1480613050286540,-0.288208,-0.47345,0.699097,0.451721
1480613050314614,-0.288208,-0.47345,0.699097,0.451721
1480613050323642,-0.288208,-0.473389,0.699158,0.45166
1480613050360736,-0.288208,-0.473328,0.699219,0.45166
1480613050368758,-0.288208,-0.473328,0.699219,0.45166
1480613050383798,-0.288208,-0.473328,0.699219,0.45166
1480613050406359,-0.288208,-0.473328,0.699219,0.45166
1480613050426913,-0.288086,-0.473145,0.699341,0.451721
1480613050443457,-0.288086,-0.473145,0.699341,0.451721
1480613050467019,-0.288147,-0.473145,0.699341,0.45166
1480613050487074,-0.288147,-0.473206,0.69928,0.45166
1480613050503616,-0.288147,-0.473206,0.69928,0.45166
1480613050526176,-0.288147,-0.473206,0.69928,0.451721
1480613050549238,-0.287781,-0.472961,0.699524,0.451721
1480613050563777,-0.287598,-0.4729,0.699707,0.451721
1480613050594860,-0.287598,-0.472839,0.699707,0.451721
1480613050608900,-0.287598,-0.472839,0.699707,0.45166
1480613050638475,-0.287659,-0.4729,0.699707,0.45166
1480613050645995,-0.287415,-0.472839,0.699829,0.451721
1480613050670561,-0.287231,-0.472656,0.700073,0.45166
1480613050683595,-0.287231,-0.472656,0.700073,0.45166
1480613050706157,-0.287231,-0.472656,0.700073,0.45166
1480613050729217,-0.287231,-0.472717,0.700012,0.45166
1480613050743254,-0.287231,-0.472717,0.700012,0.45166
1480613050773836,-0.287231,-0.472717,0.700012,0.45166
1480613050788374,-0.287109,-0.472656,0.700073,0.451721
1480613050802914,-0.287048,-0.472656,0.700073,0.451721
1480613050825974,-0.287109,-0.472656,0.700073,0.451721
1480613050872598,-0.287109,-0.472656,0.700073,0.451721
1480613050877110,-0.28717,-0.472656,0.700073,0.45166
1480613050886135,-0.28717,-0.472717,0.700073,0.45166
1480613050908694,-0.28717,-0.472717,0.700073,0.45166
1480613050923233,-0.28717,-0.472717,0.700073,0.45166
1480613050953815,-0.28717,-0.472656,0.700073,0.45166
1480613050968854,-0.28717,-0.472656,0.700073,0.45166
1480613050982891,-0.28717,-0.472717,0.700073,0.45166
1480613051005953,-0.28717,-0.472656,0.700073,0.45166
1480613051036034,-0.28717,-0.472656,0.700073,0.45166
1480613051049569,-0.28717,-0.472656,0.700073,0.45166
1480613051066115,-0.28717,-0.472656,0.700073,0.45166
1480613051103212,-0.28717,-0.472656,0.700073,0.45166
1480613051109729,-0.28717,-0.472717,0.700073,0.45166
1480613051126273,-0.287231,-0.472717,0.700073,0.45166
1480613051148833,-0.287231,-0.472717,0.700073,0.451599
1480613051169889,-0.287231,-0.472717,0.700073,0.451599
1480613051185932,-0.287231,-0.472717,0.700012,0.45166
1480613051210998,-0.28717,-0.472717,0.700012,0.45166
1480613051229549,-0.287231,-0.472717,0.700012,0.45166
1480613051246091,-0.28717,-0.472839,0.69989,0.451782
1480613051268652,-0.286987,-0.473022,0.699768,0.451904
1480613051290209,-0.286987,-0.473022,0.699768,0.451904
1480613051313771,-0.286987,-0.473022,0.699768,0.451904
1480613051344353,-0.286987,-0.472961,0.699768,0.451904
1480613051349867,-0.286987,-0.472961,0.699829,0.451904
1480613051382956,-0.286987,-0.472961,0.699768,0.451904
1480613051388472,-0.286987,-0.472961,0.699768,0.451904
1480613051418550,-0.287048,-0.472961,0.699768,0.451904
1480613051428578,-0.287048,-0.472961,0.699768,0.451904
1480613051448630,-0.286987,-0.472961,0.699768,0.451904
1480613051471192,-0.286987,-0.472961,0.699768,0.451904
1480613051486230,-0.286987,-0.472961,0.699768,0.451904
1480613051516311,-0.286987,-0.473022,0.699768,0.451904
1480613051531354,-0.286987,-0.473022,0.699768,0.451904
1480613051546892,-0.286987,-0.473022,0.699768,0.451904
1480613051568449,-0.286987,-0.473022,0.699768,0.451904
1480613051592012,-0.286987,-0.473022,0.699768,0.451904
1480613051606056,-0.286987,-0.473022,0.699768,0.451904
1480613051634626,-0.286987,-0.473022,0.699707,0.451904
1480613051651169,-0.286987,-0.473022,0.699707,0.451904
1480613051666712,-0.286987,-0.473022,0.699707,0.451904
1480613051694785,-0.287048,-0.473022,0.699707,0.451904
1480613051718849,-0.286987,-0.473022,0.699707,0.451904
1480613051725366,-0.286926,-0.473206,0.699585,0.451965
1480613051748929,-0.286926,-0.473206,0.699585,0.451965
1480613051770989,-0.286926,-0.473206,0.699585,0.451965
1480613051785527,-0.286926,-0.473206,0.699585,0.451965
1480613051809590,-0.286926,-0.473206,0.699585,0.451965
1480613051837262,-0.286926,-0.473206,0.699585,0.451965
1480613051845687,-0.286926,-0.473206,0.699585,0.451965
