timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480613047803434,-2,-1,0,0,-7,-7,-3,1
1480613047803434,3,0,3,5,12,17,2,-1
1480613047804937,-1,-1,-1,0,9,9,2,-1
1480613047804937,-3,-2,-4,-5,-3,5,1,-1
1480613047817972,1,1,2,5,4,-18,0,-2
1480613047817972,-2,-3,-2,-3,-8,5,-1,1
1480613047819476,-2,0,-1,2,0,-10,1,2
1480613047819476,1,0,-2,-1,-4,2,-1,0
1480613047840532,-1,0,-3,-8,-3,3,0,1
1480613047840532,1,0,0,0,3,-7,-1,-2
1480613047842036,1,-1,-1,-2,-8,-12,0,1
1480613047842036,-1,0,0,-1,6,6,-3,-3
1480613047855576,-2,0,-2,-6,-17,-5,0,0
1480613047855576,0,1,1,5,10,-6,0,-1
1480613047861594,2,1,2,6,4,8,3,0
1480613047861594,0,-1,-2,1,-5,4,0,0
1480613047877630,-1,2,-1,-6,-1,2,-1,0
1480613047877630,-2,-1,-3,-4,-6,-2,-2,0
1480613047879636,0,-2,0,-3,-4,-7,-3,-1
1480613047879636,1,0,0,2,-3,-8,-1,-2
1480613047908213,-1,0,-2,-5,3,8,0,-4
1480613047908213,-2,-1,-3,4,-3,3,1,1
1480613047909716,-1,1,2,3,8,1,1,-1
1480613047909716,-2,0,0,-2,-1,-6,-1,-1
1480613047914729,0,-2,2,2,-3,3,-2,-2
1480613047914729,-1,-1,-1,-3,2,6,-2,-3
1480613047922251,-1,-1,-3,-3,-16,-15,-2,-1
1480613047922251,-1,1,-2,0,1,12,-3,-2
1480613047952830,0,0,-2,-2,9,-7,-1,-2
1480613047952830,-1,0,1,3,0,-5,1,-1
1480613047954334,-2,1,-2,-2,3,6,-1,1
1480613047954334,-1,-3,-1,5,-6,-3,-1,-1
1480613047960351,-1,-2,-1,-2,-9,-1,-1,0
1480613047960351,2,-1,-2,0,2,-2,0,-1
1480613047961854,0,-1,0,-6,0,6,-1,-2
1480613047961854,-1,0,0,-2,-3,-7,-1,0
1480613047982912,-1,-1,2,5,11,12,2,2
1480613047982912,-1,0,0,-2,-3,-8,-2,1
1480613047984415,1,0,1,-1,-5,-5,-3,-3
1480613047984415,-2,0,-1,-3,4,16,2,1
1480613048006475,-1,0,-1,-1,-3,-5,1,-1
1480613048006475,-1,-1,-2,-4,-10,-4,-1,-1
1480613048008980,-1,-3,-3,2,9,-12,-1,0
1480613048008980,0,-4,-3,-1,-5,5,-2,-2
1480613048020009,-1,0,-1,-1,0,0,-2,0
1480613048020009,-1,0,2,0,-2,-4,1,0
1480613048026527,-1,-1,0,-1,-7,5,0,1
1480613048026527,0,0,0,2,1,-10,2,0
1480613048043070,0,-2,0,3,5,8,-2,-1
1480613048043070,0,-2,-1,-3,-2,0,-2,-2
1480613048044575,0,0,-1,-6,-5,3,0,1
1480613048044575,-1,0,-2,3,10,-3,0,0
